"","component","grpvar","term","grp","condval","condsd"
"cond.69","cond","variable:Microbe_treatment","(Intercept)","ASV0004:EMO",2.31872508415568,1.27840920763522
"cond.70","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MEM",2.29967812624371,1.27621591832354
"cond.71","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MMO",-0.764637535157964,1.89106501618515
"cond.72","cond","variable:Microbe_treatment","(Intercept)","ASV0005:EMO",2.25078308873107,1.28401333893956
"cond.73","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MEM",2.63776703646708,1.28126510993887
"cond.74","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MMO",-0.713653504348897,1.90811990467844
"cond.75","cond","variable:Microbe_treatment","(Intercept)","ASV0007:EMO",-0.0132020287162891,1.21364939134432
"cond.76","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MEM",-0.272998075938202,1.21274260377322
"cond.77","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MMO",5.22866852474643,1.29351177515792
"cond.78","cond","variable:Microbe_treatment","(Intercept)","ASV0008:EMO",1.38360550707698,1.20557459120937
"cond.79","cond","variable:Microbe_treatment","(Intercept)","ASV0008:MEM",1.43843740051169,1.2032881034603
"cond.80","cond","variable:Microbe_treatment","(Intercept)","ASV0008:MMO",0.595634205256142,1.37488265126767
"cond.81","cond","variable:Microbe_treatment","(Intercept)","ASV0009:EMO",0.345875166402167,1.20893875844178
"cond.82","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MEM",0.340132585052101,1.20731650759265
"cond.83","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MMO",4.29356634751692,1.2917625024116
"cond.84","cond","variable:Microbe_treatment","(Intercept)","ASV0010:EMO",2.14464008844634,1.26266818024585
"cond.85","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MEM",1.97452513303674,1.26124890280565
"cond.86","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MMO",-0.876127706376126,1.84954341698758
"cond.87","cond","variable:Microbe_treatment","(Intercept)","ASV0011:EMO",2.25593529017234,1.26679921733014
"cond.88","cond","variable:Microbe_treatment","(Intercept)","ASV0011:MEM",1.97217577067729,1.26559219896414
"cond.89","cond","variable:Microbe_treatment","(Intercept)","ASV0011:MMO",-0.869181372198837,1.85670085341677
"cond.90","cond","variable:Microbe_treatment","(Intercept)","ASV0012:EMO",0.908727066962049,1.2140126110783
