Short_label,Longer_name,Sample_type,Num_larvae,Date_collected,Exp_day,Mesocosm_id,Mesocosm_treatment,Microbe_treatment,Food_type,Mesocosm_type,Treatment_notes,Notes,Raw_reads
WL31,W_D5_L_ALL.3,Water,,6/27/23,5,L_ALL.3,L_ALL,ALL,Larval food,Experiment,All live microbes,,90049
WL32,W_D5_L_ALL.4,Water,,6/27/23,5,L_ALL.4,L_ALL,ALL,Larval food,Experiment,All live microbes,,174386
WL33,W_D5_L_ALL.5,Water,,6/27/23,5,L_ALL.5,L_ALL,ALL,Larval food,Experiment,All live microbes,,147990
WL34,W_D5_L_ALL+,Water,,6/27/23,5,L_ALL+,L_ALL+,ALL,Larval food,Additional control,No larvae - all live microbes,,153574
WL17,W_D5_L_ECO.1,Water,,6/27/23,5,L_ECO.1,L_ECO,ECO,Larval food,Experiment,E. coli only,,148743
WL18,W_D5_L_ECO.2,Water,,6/27/23,5,L_ECO.2,L_ECO,ECO,Larval food,Experiment,E. coli only,,105803
WL19,W_D5_L_ECO.3,Water,,6/27/23,5,L_ECO.3,L_ECO,ECO,Larval food,Experiment,E. coli only,,134358
WL20,W_D5_L_ECO.4,Water,,6/27/23,5,L_ECO.4,L_ECO,ECO,Larval food,Experiment,E. coli only,,112521
WL21,W_D5_L_ECO.5,Water,,6/27/23,5,L_ECO.5,L_ECO,ECO,Larval food,Experiment,E. coli only,,82024
WL22,W_D5_L_ECO+,Water,,6/27/23,5,L_ECO+,L_ECO+,ECO,Larval food,Additional control,No larvae - E. coli,,84065
WL11,W_D5_L_EMO.1,Water,,6/27/23,5,L_EMO.1,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,,156662
WL12,W_D5_L_EMO.2,Water,,6/27/23,5,L_EMO.2,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,,143158
WL13,W_D5_L_EMO.3,Water,,6/27/23,5,L_EMO.3,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,,99916
WL14,W_D5_L_EMO.4,Water,,6/27/23,5,L_EMO.4,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,,124777
WL15,W_D5_L_EMO.5,Water,,6/27/23,5,L_EMO.5,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,,143576
