"","OTU","Sample","Abundance","Short_label","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","Num_larvae_d00","Num_larvae_d08","Num_larvae_d34","Num_larvae_d40","Total_pupae","Proportion_pupated","Biomass_day30","Biomass_day40","lib_size_clean","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species","id","sequence","likely_source"
"16","ASV0008","LB11",0,"LB11","L_D8_B_EMO.4","Larvae",5,"6/30/23",8,"B_EMO.4","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",22627,20,16,11,9,3,0.15,0.308,0.308,19680,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,NA,NA,NA
"17","ASV0009","LB11",0,"LB11","L_D8_B_EMO.4","Larvae",5,"6/30/23",8,"B_EMO.4","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",22627,20,16,11,9,3,0.15,0.308,0.308,19680,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter",NA,NA,NA,NA
"18","ASV0011","LB11",0,"LB11","L_D8_B_EMO.4","Larvae",5,"6/30/23",8,"B_EMO.4","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",22627,20,16,11,9,3,0.15,0.308,0.308,19680,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA,NA,NA,NA
"19","ASV0013","LB11",0.520350625384458,"LB11","L_D8_B_EMO.4","Larvae",5,"6/30/23",8,"B_EMO.4","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",22627,20,16,11,9,3,0.15,0.308,0.308,19680,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia",NA,NA,NA,NA
"20","ASV0030","LB11",0,"LB11","L_D8_B_EMO.4","Larvae",5,"6/30/23",8,"B_EMO.4","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",22627,20,16,11,9,3,0.15,0.308,0.308,19680,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA,NA,NA,NA
"21","ASV0001","LB12",0.00110302228105008,"LB12","L_D8_B_EMO.5","Larvae",5,"6/30/23",8,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",15378,20,15,0,0,18,0.9,3.16,4.085,13682,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",NA,NA,NA,NA
"22","ASV0003","LB12",0,"LB12","L_D8_B_EMO.5","Larvae",5,"6/30/23",8,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",15378,20,15,0,0,18,0.9,3.16,4.085,13682,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia",NA,NA,NA,NA
"23","ASV0005","LB12",0,"LB12","L_D8_B_EMO.5","Larvae",5,"6/30/23",8,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",15378,20,15,0,0,18,0.9,3.16,4.085,13682,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,NA,NA,NA
"24","ASV0006","LB12",0,"LB12","L_D8_B_EMO.5","Larvae",5,"6/30/23",8,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",15378,20,15,0,0,18,0.9,3.16,4.085,13682,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Rhodoblastus",NA,NA,NA,NA
"25","ASV0007","LB12",0,"LB12","L_D8_B_EMO.5","Larvae",5,"6/30/23",8,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",15378,20,15,0,0,18,0.9,3.16,4.085,13682,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Aquitalea",NA,NA,NA,NA
"26","ASV0008","LB12",0,"LB12","L_D8_B_EMO.5","Larvae",5,"6/30/23",8,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",15378,20,15,0,0,18,0.9,3.16,4.085,13682,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,NA,NA,NA
"27","ASV0009","LB12",0,"LB12","L_D8_B_EMO.5","Larvae",5,"6/30/23",8,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",15378,20,15,0,0,18,0.9,3.16,4.085,13682,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter",NA,NA,NA,NA
"28","ASV0011","LB12",0,"LB12","L_D8_B_EMO.5","Larvae",5,"6/30/23",8,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",15378,20,15,0,0,18,0.9,3.16,4.085,13682,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA,NA,NA,NA
"29","ASV0013","LB12",0.51900875064343,"LB12","L_D8_B_EMO.5","Larvae",5,"6/30/23",8,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",15378,20,15,0,0,18,0.9,3.16,4.085,13682,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia",NA,NA,NA,NA
"30","ASV0030","LB12",0,"LB12","L_D8_B_EMO.5","Larvae",5,"6/30/23",8,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",15378,20,15,0,0,18,0.9,3.16,4.085,13682,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA,NA,NA,NA
"31","ASV0001","LB13",0.112690355329949,"LB13","L_D8_B_ECO.1","Larvae",5,"6/30/23",8,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",3440,20,14,7,7,0,0,0,0,3154,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",NA,NA,NA,NA
"32","ASV0003","LB13",0,"LB13","L_D8_B_ECO.1","Larvae",5,"6/30/23",8,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",3440,20,14,7,7,0,0,0,0,3154,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia",NA,NA,NA,NA
"33","ASV0005","LB13",0,"LB13","L_D8_B_ECO.1","Larvae",5,"6/30/23",8,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",3440,20,14,7,7,0,0,0,0,3154,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,NA,NA,NA
"34","ASV0006","LB13",0,"LB13","L_D8_B_ECO.1","Larvae",5,"6/30/23",8,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",3440,20,14,7,7,0,0,0,0,3154,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Rhodoblastus",NA,NA,NA,NA
"35","ASV0007","LB13",0,"LB13","L_D8_B_ECO.1","Larvae",5,"6/30/23",8,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",3440,20,14,7,7,0,0,0,0,3154,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Aquitalea",NA,NA,NA,NA
"36","ASV0008","LB13",0,"LB13","L_D8_B_ECO.1","Larvae",5,"6/30/23",8,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",3440,20,14,7,7,0,0,0,0,3154,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,NA,NA,NA
"37","ASV0009","LB13",0,"LB13","L_D8_B_ECO.1","Larvae",5,"6/30/23",8,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",3440,20,14,7,7,0,0,0,0,3154,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter",NA,NA,NA,NA
"38","ASV0011","LB13",0,"LB13","L_D8_B_ECO.1","Larvae",5,"6/30/23",8,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",3440,20,14,7,7,0,0,0,0,3154,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA,NA,NA,NA
"39","ASV0013","LB13",0,"LB13","L_D8_B_ECO.1","Larvae",5,"6/30/23",8,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",3440,20,14,7,7,0,0,0,0,3154,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia",NA,NA,NA,NA
