"","ASV0004","ASV0007","ASV0009","ASV0010","ASV0012","ASV0016","ASV0017","ASV0022","ASV0025","ASV0051","ASV0059","ASV0063","ASV0066","ASV0069","ASV0072","ASV0093","ASV0095","ASV0102","ASV0105","ASV0111","ASV0116","ASV0117","ASV0123","ASV0146","ASV0155","ASV0162","ASV0167","ASV0175","ASV0179","ASV0180","ASV0218","ASV0238","ASV0239","ASV0277","ASV0278","ASV0281","ASV0282","ASV0286","ASV0311","ASV0322","ASV0333","ASV0338","ASV0368","ASV0383","ASV0386","ASV0398","ASV0412","ASV0432","ASV0433","ASV0436","ASV0466","ASV0474","ASV0521","ASV0527","ASV0528","ASV0534","ASV0545","ASV0578","ASV0580","ASV0583","ASV0613","ASV0634","ASV0665","ASV0752","ASV0786","ASV0868","ASV0938"
"LL11",0.00131061598951507,0.0413724301167818,0.105729543631776,0.00178009037381898,0,0.0187789753721563,0,0,0,0,0.0103088750220066,0,0.00170184464310166,0,0,0.00168228321042233,0.00117368596075977,0.00107587879736312,0,0,0,0,0,0,0,0,0,0.00136930028755306,0,0,0.0011932473934391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL12",0,0.0631478613129989,0.0312164899320863,0,0,0,0,0,0,0.00175741689503157,0.0470928154414393,0,0.0117657571786012,0,0,0,0,0.00131061598951507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL18",0,0.0783617839551987,0.0406045476013764,0.00152486336954322,0.00784022670535052,0.00466905067134471,0,0,0,0.00176776195938196,0.00273935631873693,0,0.001416908440726,0,0,0,0,0,0,0,0.00106605492207004,0,0,0,0,0,0.00152486336954322,0,0,0,0.00179475069158626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL19",0.001787137751035,0.110211113682532,0.00813854817557664,0.00137571035511327,0.00201856566124097,0.00650569569801229,0,0,0,0,0.00367713235105043,0,0.00236570752654992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00350998997145722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL20",0.00253734307084703,0.026520751053549,0.00335370562407608,0.00189749133993778,0,0.0260574101449595,0,0,0,0,0.0266531341702888,0,0.00328751406570615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397149350219535,0,0,0,0.00147827813692827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL21",0,0.114058600610038,0.261391995563361,0.00824937609760606,0.00734818375080876,0.00908124595618819,0,0,0,0,0.0294389499953785,0,0.00492189666327757,0,0,0,0,0,0,0.0504898789167206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL22",0.00210980246684596,0.0660994157470092,0.00952888806454604,0.00278215709913753,0.00621348418807382,0.00938978020958917,0,0,0,0,0.00774367059259946,0,0.00377909672632848,0,0,0,0,0.00115923212464064,0,0,0.00141426319206158,0,0,0,0,0,0.00234164889177409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL23",0,0.00593970418710068,0.00308708309724312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016803110529298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL24",0,0.0103277455880402,0.0252333141669247,0.00196824273519395,0.00112786943252687,0,0,0,0,0,0.0153478703171303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123844486708833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL25",0,0.0148255073448247,0.00784580113781099,0,0,0,0,0,0,0,0.0131272819903201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LL26",0,0.0417146356399265,0.0537048377219841,0.00699326393141457,0.00387017758726271,0.00753214941824862,0,0,0,0,0.00519289650949173,0,0,0,0,0,0,0,0,0,0.00122473974280465,0,0,0,0,0,0.00155541947336191,0,0,0,0.00140845070422535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
