"","component","grpvar","term","grp","condval","condsd"
"cond.68","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MEM",1.50203848594425,0.949010997372832
"cond.69","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MMO",3.94675569009346,0.98601521568036
"cond.70","cond","variable:Microbe_treatment","(Intercept)","ASV0004:ALL",0.445292653492894,1.1428750731865
"cond.71","cond","variable:Microbe_treatment","(Intercept)","ASV0004:ECO",-0.050384627199336,1.91106546402659
"cond.72","cond","variable:Microbe_treatment","(Intercept)","ASV0004:EMO",0.781006319745665,1.11914928500233
"cond.73","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MEM",0.157223194272432,1.10716311292062
"cond.74","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MMO",-0.603435785278782,1.60136164545535
"cond.75","cond","variable:Microbe_treatment","(Intercept)","ASV0005:ALL",0.804984613110062,1.069578064893
"cond.76","cond","variable:Microbe_treatment","(Intercept)","ASV0005:ECO",-0.14983378763264,1.83248030062543
"cond.77","cond","variable:Microbe_treatment","(Intercept)","ASV0005:EMO",0.113531340119091,1.10044201270489
"cond.78","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MEM",0.595224212979017,1.04601702191744
"cond.79","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MMO",-1.09566777335936,1.47050714561635
"cond.80","cond","variable:Microbe_treatment","(Intercept)","ASV0006:ALL",1.70595735854912,0.955109873970943
"cond.81","cond","variable:Microbe_treatment","(Intercept)","ASV0006:ECO",-0.803709476618551,1.54159078731247
"cond.82","cond","variable:Microbe_treatment","(Intercept)","ASV0006:EMO",0.0281452596828789,0.991515650511433
"cond.83","cond","variable:Microbe_treatment","(Intercept)","ASV0006:MEM",0.446643020136537,0.964006328611285
"cond.84","cond","variable:Microbe_treatment","(Intercept)","ASV0006:MMO",2.03088648255918,1.00269034730976
"cond.85","cond","variable:Microbe_treatment","(Intercept)","ASV0007:ALL",0.168163974952125,0.982455747468711
"cond.86","cond","variable:Microbe_treatment","(Intercept)","ASV0007:ECO",-0.741699912592514,1.55854909786602
"cond.87","cond","variable:Microbe_treatment","(Intercept)","ASV0007:EMO",-0.262136736842395,0.997775993134816
"cond.88","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MEM",0.318830194072813,0.961160277972111
"cond.89","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MMO",2.34888874893433,0.992998889472236
"cond.90","cond","variable:Microbe_treatment","(Intercept)","ASV0009:ALL",0.730063546692163,0.990118901861341
"cond.91","cond","variable:Microbe_treatment","(Intercept)","ASV0009:ECO",-0.423305565798521,1.67559077709363
"cond.92","cond","variable:Microbe_treatment","(Intercept)","ASV0009:EMO",0.380269953823737,1.00632910981552
"cond.93","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MEM",0.221371505720829,0.986056644522691
"cond.94","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MMO",0.97984206863165,1.05890656047509
"cond.95","cond","variable:Microbe_treatment","(Intercept)","ASV0010:ALL",-0.140834895424482,1.01105381438682
"cond.96","cond","variable:Microbe_treatment","(Intercept)","ASV0010:ECO",2.08904590301654,1.38166867501074
"cond.97","cond","variable:Microbe_treatment","(Intercept)","ASV0010:EMO",0.288842850304702,0.997242986921169
"cond.98","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MEM",0.549763811266296,0.967446443033018
"cond.99","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MMO",-1.34840020500624,1.39855393162067
"cond.100","cond","variable:Microbe_treatment","(Intercept)","ASV0011:ALL",0.692067645948687,1.02917450200213
"cond.101","cond","variable:Microbe_treatment","(Intercept)","ASV0011:ECO",-0.337275202183519,1.71863453525163
"cond.102","cond","variable:Microbe_treatment","(Intercept)","ASV0011:EMO",0.773708813315223,1.0268366490465
"cond.103","cond","variable:Microbe_treatment","(Intercept)","ASV0011:MEM",0.231613401145762,1.01726995366096
"cond.104","cond","variable:Microbe_treatment","(Intercept)","ASV0011:MMO",-1.67033936256395,1.37685571826288
