"","Short_label","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","Num_larvae_d00","Num_larvae_d08","Num_larvae_d34","Num_larvae_d40","Total_pupae","Proportion_pupated","Biomass_day30","Biomass_day40","lib_size_clean","is.neg"
"LB7","LB7","L_D8_B_MMO.5","Larvae",5,"6/30/23",8,"B_MMO.5","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",83117,20,14,6,5,3,0.15,0.304,0.468,70787,FALSE
"LB8","LB8","L_D8_B_EMO.1","Larvae",5,"6/30/23",8,"B_EMO.1","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",43588,20,20,12,1,15,0.75,0.401,3.949,38545,FALSE
"LB9","LB9","L_D8_B_EMO.2","Larvae",5,"6/30/23",8,"B_EMO.2","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",40579,20,18,5,5,0,0,0,0,36196,FALSE
"LH1","LH1","L_D6_Hatch_flask","Larvae",10,"6/28/23",6,"Hatch_flask","Hatch_flask","None_hatch","Hatching flask","Hatching flask","Hatching flask","This sample tube contains extra L1 larvae prepared a day after in case the first tube (the one with issues with L1s sticking to the tube walls) was not enough.",70837,NA,NA,NA,NA,NA,NA,NA,NA,62492,FALSE
"LL1","LL1","L_D8_L_larvae","Larvae",5,"6/30/23",8,"L_larvae","L_larvae","None_larvae","Larval food","Additional control","Larvae & food only","",29615,20,4,0,0,9,0.45,7.414,7.414,26934,FALSE
"LL10","LL10","L_D8_L_EMO.3","Larvae",5,"6/30/23",8,"L_EMO.3","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",55881,20,12,0,0,12,0.6,10.172,10.172,49216,FALSE
"LL11","LL11","L_D8_L_EMO.4","Larvae",5,"6/30/23",8,"L_EMO.4","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",59663,20,11,0,0,11,0.55,8.412,8.412,51397,FALSE
"LL12","LL12","L_D8_L_EMO.5","Larvae",5,"6/30/23",8,"L_EMO.5","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",39221,20,7,0,0,15,0.75,11.365,11.365,33785,FALSE
"LL13","LL13","L_D8_L_ECO.1","Larvae",5,"6/30/23",8,"L_ECO.1","L_ECO","ECO","Larval food","Experiment","E. coli only","",51457,20,10,0,0,7,0.35,3.736,3.736,47223,FALSE
"LL14","LL14","L_D8_L_ECO.2","Larvae",5,"6/30/23",8,"L_ECO.2","L_ECO","ECO","Larval food","Experiment","E. coli only","",90315,20,12,0,0,18,0.9,10.588,10.588,80370,FALSE
"LL15","LL15","L_D8_L_ECO.3","Larvae",5,"6/30/23",8,"L_ECO.3","L_ECO","ECO","Larval food","Experiment","E. coli only","",83512,20,12,0,0,14,0.7,7.747,7.747,74653,FALSE
"LL16","LL16","L_D8_L_ECO.4","Larvae",5,"6/30/23",8,"L_ECO.4","L_ECO","ECO","Larval food","Experiment","E. coli only","",60309,20,7,0,0,9,0.45,5.967,5.967,55705,FALSE
"LL17","LL17","L_D8_L_ECO.5","Larvae",5,"6/30/23",8,"L_ECO.5","L_ECO","ECO","Larval food","Experiment","E. coli only","",54799,20,6,0,0,7,0.35,3.053,3.053,49886,FALSE
"LL18","LL18","L_D8_L_MEM.1","Larvae",5,"6/30/23",8,"L_MEM.1","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",87019,20,6,0,0,6,0.3,4.731,4.731,74105,FALSE
"LL19","LL19","L_D8_L_MEM.2","Larvae",4,"6/30/23",8,"L_MEM.2","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",91113,20,0,0,0,0,0,0,0,77778,FALSE
"LL2","LL2","L_D8_L_AHK.1","Larvae",5,"6/30/23",8,"L_AHK.1","L_AHK","AHK","Larval food","Experiment","All heat-killed microbes","",51522,20,7,0,0,19,0.95,15.548,15.548,46758,FALSE
"LL20","LL20","L_D8_L_MEM.3","Larvae",5,"6/30/23",8,"L_MEM.3","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",54597,20,7,0,0,8,0.4,6.392,6.392,45323,FALSE
"LL21","LL21","L_D8_L_MEM.4","Larvae",2,"6/30/23",8,"L_MEM.4","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",54577,20,1,0,0,1,0.05,1.039,1.039,43276,FALSE
"LL22","LL22","L_D8_L_MEM.5","Larvae",5,"6/30/23",8,"L_MEM.5","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",50438,20,8,0,0,7,0.35,4.84,4.84,43132,FALSE
"LL23","LL23","L_D8_L_ALL.1","Larvae",5,"6/30/23",8,"L_ALL.1","L_ALL","ALL","Larval food","Experiment","All live microbes","",55042,20,7,0,0,6,0.3,4.235,4.235,51181,FALSE
"LL24","LL24","L_D8_L_ALL.2","Larvae",5,"6/30/23",8,"L_ALL.2","L_ALL","ALL","Larval food","Experiment","All live microbes","",52771,20,2,0,0,7,0.35,5.262,5.262,45218,FALSE
"LL25","LL25","L_D8_L_ALL.3","Larvae",5,"6/30/23",8,"L_ALL.3","L_ALL","ALL","Larval food","Experiment","All live microbes","",66477,20,6,0,0,7,0.35,5.604,5.604,58885,FALSE
"LL26","LL26","L_D8_L_ALL.4","Larvae",5,"6/30/23",8,"L_ALL.4","L_ALL","ALL","Larval food","Experiment","All live microbes","",97749,20,1,0,0,1,0.05,0.571,0.571,81650,FALSE
"LL27","LL27","L_D8_L_ALL.5","Larvae",5,"6/30/23",8,"L_ALL.5","L_ALL","ALL","Larval food","Experiment","All live microbes","",99386,20,2,0,0,0,0,0,0,78324,FALSE
"LL3","LL3","L_D8_L_MMO.1","Larvae",5,"6/30/23",8,"L_MMO.1","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",101981,20,5,0,0,18,0.9,13.798,13.798,85741,FALSE
"LL4","LL4","L_D8_L_MMO.2","Larvae",5,"6/30/23",8,"L_MMO.2","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",83175,20,1,0,0,18,0.9,12.621,12.621,68897,FALSE
