"","Short_label","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","Num_larvae_d00","Num_larvae_d08","Num_larvae_d34","Num_larvae_d40","Total_pupae","Proportion_pupated","Biomass_day30","Biomass_day40","lib_size_clean","is.neg"
"WB58","WB58","W_D20_B_ECO+","Water",NA,"7/12/23",20,"B_ECO+","B_ECO+","ECO","Bamboo","Additional control","No larvae - E. coli","",101372,NA,NA,NA,NA,NA,NA,NA,NA,89835,FALSE
"WB59","WB59","W_D20_B_MEM.1","Water",NA,"7/12/23",20,"B_MEM.1","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",66999,20,16,2,1,1,0.05,0,0.227,54153,FALSE
"WB6","WB6","W_D5_B_larvae","Water",NA,"6/27/23",5,"B_larvae","B_larvae","None_larvae","Bamboo","Additional control","Larvae & food only","",65165,20,12,11,2,1,0.05,0.197,0.197,57996,FALSE
"WB60","WB60","W_D20_B_MEM.2","Water",NA,"7/12/23",20,"B_MEM.2","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",128894,20,12,1,1,14,0.7,4.007,4.007,96678,FALSE
"WB61","WB61","W_D20_B_MEM.3","Water",NA,"7/12/23",20,"B_MEM.3","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",121032,20,15,0,0,17,0.85,4.53,5.122,91344,FALSE
"WB62","WB62","W_D20_B_MEM.4","Water",NA,"7/12/23",20,"B_MEM.4","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",164334,20,14,10,3,2,0.1,0.315,0.315,118881,FALSE
"WB63","WB63","W_D20_B_MEM.5","Water",NA,"7/12/23",20,"B_MEM.5","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",104178,20,17,0,0,0,0,0,0,81896,FALSE
"WB64","WB64","W_D20_B_MEM+","Water",NA,"7/12/23",20,"B_MEM+","B_MEM+","MEM","Bamboo","Additional control","No larvae - mosquito & environmental microbes","",117541,NA,NA,NA,NA,NA,NA,NA,NA,82925,FALSE
"WB65","WB65","W_D20_B_ALL.1","Water",NA,"7/12/23",20,"B_ALL.1","B_ALL","ALL","Bamboo","Experiment","All live microbes","",164239,20,11,0,0,12,0.6,4.096,4.096,116247,FALSE
"WB66","WB66","W_D20_B_ALL.2","Water",NA,"7/12/23",20,"B_ALL.2","B_ALL","ALL","Bamboo","Experiment","All live microbes","",134307,20,18,4,4,0,0,0,0,100160,FALSE
"WB67","WB67","W_D20_B_ALL.3","Water",NA,"7/12/23",20,"B_ALL.3","B_ALL","ALL","Bamboo","Experiment","All live microbes","",119012,20,10,0,0,9,0.45,3.642,3.642,74518,FALSE
"WB68","WB68","W_D20_B_ALL.4","Water",NA,"7/12/23",20,"B_ALL.4","B_ALL","ALL","Bamboo","Experiment","All live microbes","",123522,20,16,2,2,2,0.1,0.13,0.299,90865,FALSE
"WB69","WB69","W_D20_B_ALL.5","Water",NA,"7/12/23",20,"B_ALL.5","B_ALL","ALL","Bamboo","Experiment","All live microbes","",142364,20,13,0,0,13,0.65,3.369,3.369,96160,FALSE
"WB7","WB7","W_D5_B_MMO.1","Water",NA,"6/27/23",5,"B_MMO.1","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",133173,20,16,8,5,4,0.2,0.288,0.538,101637,FALSE
"WB70","WB70","W_D20_B_ALL+","Water",NA,"7/12/23",20,"B_ALL+","B_ALL+","ALL","Bamboo","Additional control","No larvae - all live microbes","",170574,NA,NA,NA,NA,NA,NA,NA,NA,108148,FALSE
"WB8","WB8","W_D5_B_MMO.2","Water",NA,"6/27/23",5,"B_MMO.2","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",150363,20,17,4,4,0,0,0,0,108043,FALSE
"WB9","WB9","W_D5_B_MMO.3","Water",NA,"6/27/23",5,"B_MMO.3","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",149261,20,10,0,0,11,0.55,3.737,3.737,106427,FALSE
"WL1","WL1","W_D5_L_larvae","Water",NA,"6/27/23",5,"L_larvae","L_larvae","None_larvae","Larval food","Additional control","Larvae & food only","",88708,20,4,0,0,9,0.45,7.414,7.414,80507,FALSE
"WL10","WL10","W_D5_L_MMO+","Water",NA,"6/27/23",5,"L_MMO+","L_MMO+","MMO","Larval food","Additional control","No larvae - mosquito microbes","",213471,NA,NA,NA,NA,NA,NA,NA,NA,140176,FALSE
"WL11","WL11","W_D5_L_EMO.1","Water",NA,"6/27/23",5,"L_EMO.1","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",156662,20,7,0,0,5,0.25,2.51,2.51,111243,FALSE
"WL12","WL12","W_D5_L_EMO.2","Water",NA,"6/27/23",5,"L_EMO.2","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",143158,20,7,0,0,7,0.35,6.057,6.057,95779,FALSE
"WL13","WL13","W_D5_L_EMO.3","Water",NA,"6/27/23",5,"L_EMO.3","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",99916,20,12,0,0,12,0.6,10.172,10.172,73979,FALSE
"WL14","WL14","W_D5_L_EMO.4","Water",NA,"6/27/23",5,"L_EMO.4","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",124777,20,11,0,0,11,0.55,8.412,8.412,85675,FALSE
"WL15","WL15","W_D5_L_EMO.5","Water",NA,"6/27/23",5,"L_EMO.5","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",143576,20,7,0,0,15,0.75,11.365,11.365,107597,FALSE
"WL16","WL16","W_D5_L_EMO+","Water",NA,"6/27/23",5,"L_EMO+","L_EMO+","EMO","Larval food","Additional control","No larvae - environmental microbes","",113153,NA,NA,NA,NA,NA,NA,NA,NA,85181,FALSE
"WL17","WL17","W_D5_L_ECO.1","Water",NA,"6/27/23",5,"L_ECO.1","L_ECO","ECO","Larval food","Experiment","E. coli only","",148743,20,10,0,0,7,0.35,3.736,3.736,130950,FALSE
"WL18","WL18","W_D5_L_ECO.2","Water",NA,"6/27/23",5,"L_ECO.2","L_ECO","ECO","Larval food","Experiment","E. coli only","",105803,20,12,0,0,18,0.9,10.588,10.588,94157,FALSE
"WL19","WL19","W_D5_L_ECO.3","Water",NA,"6/27/23",5,"L_ECO.3","L_ECO","ECO","Larval food","Experiment","E. coli only","",134358,20,12,0,0,14,0.7,7.747,7.747,117077,FALSE
"WL2","WL2","W_D5_L_AHK+","Water",NA,"6/27/23",5,"L_AHK+","L_AHK+","AHK","Larval food","Additional control","No larvae - all heat-killed microbes","",1011,NA,NA,NA,NA,NA,NA,NA,NA,656,FALSE
"WL20","WL20","W_D5_L_ECO.4","Water",NA,"6/27/23",5,"L_ECO.4","L_ECO","ECO","Larval food","Experiment","E. coli only","",112521,20,7,0,0,9,0.45,5.967,5.967,97532,FALSE
"WL21","WL21","W_D5_L_ECO.5","Water",NA,"6/27/23",5,"L_ECO.5","L_ECO","ECO","Larval food","Experiment","E. coli only","",82024,20,6,0,0,7,0.35,3.053,3.053,73229,FALSE
"WL22","WL22","W_D5_L_ECO+","Water",NA,"6/27/23",5,"L_ECO+","L_ECO+","ECO","Larval food","Additional control","No larvae - E. coli","",84065,NA,NA,NA,NA,NA,NA,NA,NA,75581,FALSE
"WL23","WL23","W_D5_L_MEM.1","Water",NA,"6/27/23",5,"L_MEM.1","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",77744,20,6,0,0,6,0.3,4.731,4.731,54439,FALSE
"WL24","WL24","W_D5_L_MEM.2","Water",NA,"6/27/23",5,"L_MEM.2","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",119945,20,0,0,0,0,0,0,0,86062,FALSE
"WL25","WL25","W_D5_L_MEM.3","Water",NA,"6/27/23",5,"L_MEM.3","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",171802,20,7,0,0,8,0.4,6.392,6.392,121810,FALSE
"WL26","WL26","W_D5_L_MEM.4","Water",NA,"6/27/23",5,"L_MEM.4","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",130957,20,1,0,0,1,0.05,1.039,1.039,92000,FALSE
"WL27","WL27","W_D5_L_MEM.5","Water",NA,"6/27/23",5,"L_MEM.5","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",161014,20,8,0,0,7,0.35,4.84,4.84,113907,FALSE
"WL28","WL28","W_D5_L_MEM+","Water",NA,"6/27/23",5,"L_MEM+","L_MEM+","MEM","Larval food","Additional control","No larvae - mosquito & environmental microbes","",170049,NA,NA,NA,NA,NA,NA,NA,NA,110330,FALSE
"WL29","WL29","W_D5_L_ALL.1","Water",NA,"6/27/23",5,"L_ALL.1","L_ALL","ALL","Larval food","Experiment","All live microbes","",134586,20,7,0,0,6,0.3,4.235,4.235,93112,FALSE
"WL3","WL3","W_D5_L_food","Water",NA,"6/27/23",5,"L_food","L_food","None_food","Larval food","Additional control","Food only","",1121,NA,NA,NA,NA,NA,NA,NA,NA,341,FALSE
"WL30","WL30","W_D5_L_ALL.2","Water",NA,"6/27/23",5,"L_ALL.2","L_ALL","ALL","Larval food","Experiment","All live microbes","",122343,20,2,0,0,7,0.35,5.262,5.262,90987,FALSE
"WL31","WL31","W_D5_L_ALL.3","Water",NA,"6/27/23",5,"L_ALL.3","L_ALL","ALL","Larval food","Experiment","All live microbes","",90049,20,6,0,0,7,0.35,5.604,5.604,63868,FALSE
"WL32","WL32","W_D5_L_ALL.4","Water",NA,"6/27/23",5,"L_ALL.4","L_ALL","ALL","Larval food","Experiment","All live microbes","",174386,20,1,0,0,1,0.05,0.571,0.571,123683,FALSE
"WL33","WL33","W_D5_L_ALL.5","Water",NA,"6/27/23",5,"L_ALL.5","L_ALL","ALL","Larval food","Experiment","All live microbes","",147990,20,2,0,0,0,0,0,0,106361,FALSE
"WL34","WL34","W_D5_L_ALL+","Water",NA,"6/27/23",5,"L_ALL+","L_ALL+","ALL","Larval food","Additional control","No larvae - all live microbes","",153574,NA,NA,NA,NA,NA,NA,NA,NA,121264,FALSE
"WL4","WL4","W_D5_L_AHK.1","Water",NA,"6/27/23",5,"L_AHK.1","L_AHK","AHK","Larval food","Experiment","All heat-killed microbes","",60375,20,7,0,0,19,0.95,15.548,15.548,54982,FALSE
"WL5","WL5","W_D5_L_MMO.1","Water",NA,"6/27/23",5,"L_MMO.1","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",128296,20,5,0,0,18,0.9,13.798,13.798,97364,FALSE
"WL6","WL6","W_D5_L_MMO.2","Water",NA,"6/27/23",5,"L_MMO.2","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",92704,20,1,0,0,18,0.9,12.621,12.621,65711,FALSE
"WL7","WL7","W_D5_L_MMO.3","Water",NA,"6/27/23",5,"L_MMO.3","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",137202,20,5,0,0,17,0.85,13.026,13.026,98159,FALSE
"WL8","WL8","W_D5_L_MMO.4","Water",NA,"6/27/23",5,"L_MMO.4","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",117557,20,6,0,0,22,1.1,18.46,18.46,83325,FALSE
"WL9","WL9","W_D5_L_MMO.5","Water",NA,"6/27/23",5,"L_MMO.5","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",77045,20,5,0,0,10,0.5,7.375,7.375,51746,FALSE
