Short_label,Longer_name,Sample_type,Num_larvae,Date_collected,Exp_day,Mesocosm_id,Mesocosm_treatment,Microbe_treatment,Food_type,Mesocosm_type,Treatment_notes,Num_larvae_d00,Num_larvae_d08,Num_larvae_d34,Num_larvae_d40,Total_pupae,Proportion_pupated,Biomass_day30,Biomass_day40,16S_raw_reads,SSU_raw_reads,metagenomes,MG_raw_reads,Notes
WB7,W_D5_B_MMO.1,Water,,6/27/23,5,B_MMO.1,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,20,16,8,5,4,0.2,0.288,0.538,133173,43599,yes,,
WB8,W_D5_B_MMO.2,Water,,6/27/23,5,B_MMO.2,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,20,17,4,4,0,0,0,0,150363,72253,yes,,
WB9,W_D5_B_MMO.3,Water,,6/27/23,5,B_MMO.3,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,20,10,0,0,11,0.55,3.737,3.737,149261,48722,yes,,
WB10,W_D5_B_MMO.4,Water,,6/27/23,5,B_MMO.4,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,20,10,2,2,10,0.5,1.06,2.612,154756,74787,no,NA,
WB11,W_D5_B_MMO.5,Water,,6/27/23,5,B_MMO.5,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,20,14,6,5,3,0.15,0.304,0.468,150697,45730,yes,,
WB12,W_D5_B_MMO+,Water,,6/27/23,5,B_MMO+,B_MMO+,MMO,Bamboo,Additional control,No larvae - mosquito microbes,,,,,,,,,114495,35022,no,NA,
WB2,W_D5_Hatch_flask,Water,,6/27/23,5,Hatch_flask,Hatch_flask,None_hatch,Hatching flask,Hatching flask,Hatching flask,,,,,,,,,1870,43507,no,NA,
WL4,W_D5_L_AHK.1,Water,,6/27/23,5,L_AHK.1,L_AHK,AHK,Larval food,Experiment,All heat-killed microbes,20,7,0,0,19,0.95,15.548,15.548,60375,65252,no,NA,
WL2,W_D5_L_AHK+,Water,,6/27/23,5,L_AHK+,L_AHK+,AHK,Larval food,Additional control,No larvae - all heat-killed microbes,,,,,,,,,1011,12309,no,NA,
WL29,W_D5_L_ALL.1,Water,,6/27/23,5,L_ALL.1,L_ALL,ALL,Larval food,Experiment,All live microbes,20,7,0,0,6,0.3,4.235,4.235,134586,142584,no,NA,
WL30,W_D5_L_ALL.2,Water,,6/27/23,5,L_ALL.2,L_ALL,ALL,Larval food,Experiment,All live microbes,20,2,0,0,7,0.35,5.262,5.262,122343,169347,no,NA,
WL31,W_D5_L_ALL.3,Water,,6/27/23,5,L_ALL.3,L_ALL,ALL,Larval food,Experiment,All live microbes,20,6,0,0,7,0.35,5.604,5.604,90049,112554,no,NA,
WL32,W_D5_L_ALL.4,Water,,6/27/23,5,L_ALL.4,L_ALL,ALL,Larval food,Experiment,All live microbes,20,1,0,0,1,0.05,0.571,0.571,174386,149550,no,NA,
WL33,W_D5_L_ALL.5,Water,,6/27/23,5,L_ALL.5,L_ALL,ALL,Larval food,Experiment,All live microbes,20,2,0,0,0,0,0,0,147990,104071,no,NA,
WL34,W_D5_L_ALL+,Water,,6/27/23,5,L_ALL+,L_ALL+,ALL,Larval food,Additional control,No larvae - all live microbes,,,,,,,,,153574,73213,no,NA,
WL17,W_D5_L_ECO.1,Water,,6/27/23,5,L_ECO.1,L_ECO,ECO,Larval food,Experiment,E. coli only,20,10,0,0,7,0.35,3.736,3.736,148743,123198,no,NA,
WL18,W_D5_L_ECO.2,Water,,6/27/23,5,L_ECO.2,L_ECO,ECO,Larval food,Experiment,E. coli only,20,12,0,0,18,0.9,10.588,10.588,105803,171954,no,NA,
WL19,W_D5_L_ECO.3,Water,,6/27/23,5,L_ECO.3,L_ECO,ECO,Larval food,Experiment,E. coli only,20,12,0,0,14,0.7,7.747,7.747,134358,113256,no,NA,
WL20,W_D5_L_ECO.4,Water,,6/27/23,5,L_ECO.4,L_ECO,ECO,Larval food,Experiment,E. coli only,20,7,0,0,9,0.45,5.967,5.967,112521,138796,no,NA,
WL21,W_D5_L_ECO.5,Water,,6/27/23,5,L_ECO.5,L_ECO,ECO,Larval food,Experiment,E. coli only,20,6,0,0,7,0.35,3.053,3.053,82024,233096,no,NA,
WL22,W_D5_L_ECO+,Water,,6/27/23,5,L_ECO+,L_ECO+,ECO,Larval food,Additional control,No larvae - E. coli,,,,,,,,,84065,171883,no,NA,
WL11,W_D5_L_EMO.1,Water,,6/27/23,5,L_EMO.1,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,20,7,0,0,5,0.25,2.51,2.51,156662,63753,yes,,
WL12,W_D5_L_EMO.2,Water,,6/27/23,5,L_EMO.2,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,20,7,0,0,7,0.35,6.057,6.057,143158,104939,yes,,
WL13,W_D5_L_EMO.3,Water,,6/27/23,5,L_EMO.3,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,20,12,0,0,12,0.6,10.172,10.172,99916,102516,no,NA,
WL14,W_D5_L_EMO.4,Water,,6/27/23,5,L_EMO.4,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,20,11,0,0,11,0.55,8.412,8.412,124777,50421,yes,,
WL15,W_D5_L_EMO.5,Water,,6/27/23,5,L_EMO.5,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,20,7,0,0,15,0.75,11.365,11.365,143576,57501,yes,,
WL16,W_D5_L_EMO+,Water,,6/27/23,5,L_EMO+,L_EMO+,EMO,Larval food,Additional control,No larvae - environmental microbes,,,,,,,,,113153,92181,no,NA,
WL3,W_D5_L_food,Water,,6/27/23,5,L_food,L_food,None_food,Larval food,Additional control,Food only,,,,,,,,,1121,26830,no,NA,
WL1,W_D5_L_larvae,Water,,6/27/23,5,L_larvae,L_larvae,None_larvae,Larval food,Additional control,Larvae & food only,20,4,0,0,9,0.45,7.414,7.414,88708,65348,no,NA,
WL23,W_D5_L_MEM.1,Water,,6/27/23,5,L_MEM.1,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,20,6,0,0,6,0.3,4.731,4.731,77744,69460,yes,,
WL24,W_D5_L_MEM.2,Water,,6/27/23,5,L_MEM.2,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,20,0,0,0,0,0,0,0,119945,37750,yes,,
WL25,W_D5_L_MEM.3,Water,,6/27/23,5,L_MEM.3,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,20,7,0,0,8,0.4,6.392,6.392,171802,46510,no,NA,
WL26,W_D5_L_MEM.4,Water,,6/27/23,5,L_MEM.4,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,20,1,0,0,1,0.05,1.039,1.039,130957,110087,yes,,
WL27,W_D5_L_MEM.5,Water,,6/27/23,5,L_MEM.5,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,20,8,0,0,7,0.35,4.84,4.84,161014,71997,yes,,
WL28,W_D5_L_MEM+,Water,,6/27/23,5,L_MEM+,L_MEM+,MEM,Larval food,Additional control,No larvae - mosquito & environmental microbes,,,,,,,,,170049,62253,no,NA,
WL5,W_D5_L_MMO.1,Water,,6/27/23,5,L_MMO.1,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,20,5,0,0,18,0.9,13.798,13.798,128296,36319,yes,,
WL6,W_D5_L_MMO.2,Water,,6/27/23,5,L_MMO.2,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,20,1,0,0,18,0.9,12.621,12.621,92704,33478,no,NA,
WL7,W_D5_L_MMO.3,Water,,6/27/23,5,L_MMO.3,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,20,5,0,0,17,0.85,13.026,13.026,137202,32402,yes,,
WL8,W_D5_L_MMO.4,Water,,6/27/23,5,L_MMO.4,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,20,6,0,0,22,1.1,18.46,18.46,117557,32124,yes,,
WL9,W_D5_L_MMO.5,Water,,6/27/23,5,L_MMO.5,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,20,5,0,0,10,0.5,7.375,7.375,77045,36088,yes,,
WL10,W_D5_L_MMO+,Water,,6/27/23,5,L_MMO+,L_MMO+,MMO,Larval food,Additional control,No larvae - mosquito microbes,,,,,,,,,213471,39763,no,NA,
WB1,W_D5_Lab_water,Water,,6/27/23,5,Lab_water,Lab_water,None_labwater,Lab water,Lab water,Lab water,,,,,,,,,63140,59309,no,NA,Sterile/autoclaved water from 06/22/23
LH1,L_D6_Hatch_flask,Larvae,10,6/28/23,6,Hatch_flask,Hatch_flask,None_hatch,Hatching flask,Hatching flask,Hatching flask,,,,,,,,,70837,53093,no,NA,This sample tube contains extra L1 larvae prepared a day after in case the first tube (the one with issues with L1s sticking to the tube walls) was not enough.
LB2,L_D8_B_AHK.1,Larvae,5,6/30/23,8,B_AHK.1,B_AHK,AHK,Bamboo,Experiment,All heat-killed microbes,20,14,11,4,0,0,0,0,33655,14015,no,NA,
LB23,L_D8_B_ALL.1,Larvae,5,6/30/23,8,B_ALL.1,B_ALL,ALL,Bamboo,Experiment,All live microbes,20,11,0,0,12,0.6,4.096,4.096,73665,23435,no,NA,
LB24,L_D8_B_ALL.2,Larvae,5,6/30/23,8,B_ALL.2,B_ALL,ALL,Bamboo,Experiment,All live microbes,20,18,4,4,0,0,0,0,36399,4727,no,NA,
LB25,L_D8_B_ALL.3,Larvae,5,6/30/23,8,B_ALL.3,B_ALL,ALL,Bamboo,Experiment,All live microbes,20,10,0,0,9,0.45,3.642,3.642,66744,40564,no,NA,
LB26,L_D8_B_ALL.4,Larvae,5,6/30/23,8,B_ALL.4,B_ALL,ALL,Bamboo,Experiment,All live microbes,20,16,2,2,2,0.1,0.13,0.299,60546,42287,no,NA,
LB27,L_D8_B_ALL.5,Larvae,5,6/30/23,8,B_ALL.5,B_ALL,ALL,Bamboo,Experiment,All live microbes,20,13,0,0,13,0.65,3.369,3.369,66531,59541,no,NA,
