"","component","grpvar","term","grp","condval","condsd"
"cond.81","cond","variable","(Intercept)","K00117",-0.603092511220653,0.708126168307943
"cond.82","cond","variable","(Intercept)","K00118",-1.18164680670016,0.715571218207778
"cond.83","cond","variable","(Intercept)","K00121",1.53323198871158,0.694132601717576
"cond.84","cond","variable","(Intercept)","K00122",-0.840258412730258,0.710204484086556
"cond.85","cond","variable","(Intercept)","K00123",2.30891562337535,0.69325224168759
"cond.86","cond","variable","(Intercept)","K00124",1.51661743198285,0.694280678543987
"cond.87","cond","variable","(Intercept)","K00126",0.198062256635605,0.699467076198055
"cond.88","cond","variable","(Intercept)","K00127",0.906334944812081,0.696122071845843
"cond.89","cond","variable","(Intercept)","K00128",1.57974698195167,0.695190521162689
"cond.90","cond","variable","(Intercept)","K00129",-0.189698887394828,0.711383669674624
"cond.91","cond","variable","(Intercept)","K00130",1.49230141994795,0.694940324007691
"cond.92","cond","variable","(Intercept)","K00131",0.0141931961768453,0.702123921743512
"cond.93","cond","variable","(Intercept)","K00132",-0.769626251419303,0.721189320930487
"cond.94","cond","variable","(Intercept)","K00133",1.66065550045215,0.69406778283215
"cond.95","cond","variable","(Intercept)","K00134",1.50546990067098,0.694324449217941
"cond.96","cond","variable","(Intercept)","K00135",2.32899727960129,0.693358281649615
"cond.97","cond","variable","(Intercept)","K00137",0.597465084788397,0.697703335411024
"cond.98","cond","variable","(Intercept)","K00138",1.68724829433835,0.69397464543509
"cond.99","cond","variable","(Intercept)","K00140",1.95615266542609,0.693674256640193
"cond.100","cond","variable","(Intercept)","K00141",-0.234425775454543,0.70366362621539
"cond.101","cond","variable","(Intercept)","K00143",-0.621969122550462,0.708608840039911
"cond.102","cond","variable","(Intercept)","K00145",1.40694191754209,0.694591379128129
"cond.103","cond","variable","(Intercept)","K00146",1.26132465871483,0.695390016581882
"cond.104","cond","variable","(Intercept)","K00147",1.57114340178431,0.694150468498571
"cond.105","cond","variable","(Intercept)","K00148",-0.786470321957446,0.708830922502123
"cond.106","cond","variable","(Intercept)","K00151",1.16843418855057,0.695738509736002
"cond.107","cond","variable","(Intercept)","K00154",0.467182387584198,0.698638934547169
"cond.108","cond","variable","(Intercept)","K00156",0.519019588669696,0.70097398537448
"cond.109","cond","variable","(Intercept)","K00161",1.27297285830057,0.695491471760933
"cond.110","cond","variable","(Intercept)","K00162",1.43436110094484,0.69461598434657
"cond.111","cond","variable","(Intercept)","K00163",2.08850100674525,0.693453358407282
"cond.112","cond","variable","(Intercept)","K00164",2.22755246220063,0.693330130350915
"cond.113","cond","variable","(Intercept)","K00166",-1.02860598650824,0.716418817041939
"cond.114","cond","variable","(Intercept)","K00167",-0.920375766465418,0.714144126334624
"cond.115","cond","variable","(Intercept)","K00169",-0.302721958326385,0.705218782212343
"cond.116","cond","variable","(Intercept)","K00170",-0.905399683745819,0.714455227639069
"cond.117","cond","variable","(Intercept)","K00172",-0.753976038826244,0.710988298357079
"cond.118","cond","variable","(Intercept)","K00174",-0.654231088178851,0.709803787909938
"cond.119","cond","variable","(Intercept)","K00175",-0.904981928962409,0.713635400720855
"cond.120","cond","variable","(Intercept)","K00176",-1.61530539323758,0.726264519360594
"cond.121","cond","variable","(Intercept)","K00177",-1.76277843875935,0.728487227430316
"cond.122","cond","variable","(Intercept)","K00179",-0.557203462033555,0.705426051437624
"cond.123","cond","variable","(Intercept)","K00180",-0.740085039600729,0.707401218700002
"cond.124","cond","variable","(Intercept)","K00184",-1.80687864300417,0.731684226789507
"cond.125","cond","variable","(Intercept)","K00200",-1.28665646871953,0.738929101261054
"cond.126","cond","variable","(Intercept)","K00201",-1.42659748445332,0.74163071959611
"cond.127","cond","variable","(Intercept)","K00202",-1.59076175080664,0.744614395115221
"cond.128","cond","variable","(Intercept)","K00208",1.67688598007899,0.693894483449528
"cond.129","cond","variable","(Intercept)","K00209",-0.0174806455404698,0.701559145446743
"cond.130","cond","variable","(Intercept)","K00210",-0.131989324155059,0.70313936511421
"cond.131","cond","variable","(Intercept)","K00215",1.30976176589673,0.694807904502547
"cond.132","cond","variable","(Intercept)","K00216",0.127028684253282,0.700254163105137
"cond.133","cond","variable","(Intercept)","K00217",0.0100621761572385,0.703061439274338
"cond.134","cond","variable","(Intercept)","K00218",0.150955979994325,0.703171264986686
"cond.135","cond","variable","(Intercept)","K00219",1.48216805672444,0.694756754815995
"cond.136","cond","variable","(Intercept)","K00220",0.132186882459508,0.702092491054247
"cond.137","cond","variable","(Intercept)","K00226",-0.462242225985434,0.704982530627671
"cond.138","cond","variable","(Intercept)","K00227",-1.13311781116989,0.71638396819172
"cond.139","cond","variable","(Intercept)","K00228",1.08606901896433,0.695361405009937
"cond.140","cond","variable","(Intercept)","K00230",-0.00322045659808714,0.700902096283885
"cond.141","cond","variable","(Intercept)","K00231",0.700845850919105,0.698652765434728
"cond.142","cond","variable","(Intercept)","K00232",-0.0219825014093019,0.711161413456246
"cond.143","cond","variable","(Intercept)","K00239",1.87214236355671,0.693695049510582
"cond.144","cond","variable","(Intercept)","K00240",1.3079940007169,0.694812844338193
"cond.145","cond","variable","(Intercept)","K00241",0.951051855293623,0.695911862713749
"cond.146","cond","variable","(Intercept)","K00242",0.93904900969079,0.695983993920291
"cond.147","cond","variable","(Intercept)","K00243",-1.74230663625267,0.727249403768638
"cond.148","cond","variable","(Intercept)","K00244",1.30297181446015,0.69462181546065
"cond.149","cond","variable","(Intercept)","K00245",0.522195585469435,0.697591056721283
"cond.150","cond","variable","(Intercept)","K00246",0.22209228110597,0.699265698305175
"cond.151","cond","variable","(Intercept)","K00247",0.178164394361534,0.699522120906627
"cond.152","cond","variable","(Intercept)","K00248",2.02094457897825,0.69351266764993
"cond.153","cond","variable","(Intercept)","K00249",2.05971332762639,0.693987854342735
"cond.154","cond","variable","(Intercept)","K00252",1.40908330365353,0.69461581910636
"cond.155","cond","variable","(Intercept)","K00253",0.87699371468214,0.696344777347304
"cond.156","cond","variable","(Intercept)","K00254",1.40337259447567,0.694562840243151
"cond.157","cond","variable","(Intercept)","K00255",-0.414635344999157,0.716150186324281
"cond.158","cond","variable","(Intercept)","K00256",-0.952508760613441,0.718107442222228
"cond.159","cond","variable","(Intercept)","K00259",0.669209554654473,0.698066715030525
"cond.160","cond","variable","(Intercept)","K00261",0.218586862743449,0.700803977066185
"cond.161","cond","variable","(Intercept)","K00262",1.0486360220213,0.696316546582764
"cond.162","cond","variable","(Intercept)","K00263",-0.159647716255811,0.705776506840394
"cond.163","cond","variable","(Intercept)","K00265",2.53174736431822,0.69314163592017
"cond.164","cond","variable","(Intercept)","K00266",1.92758409818856,0.693631412530792
"cond.165","cond","variable","(Intercept)","K00273",0.860068574047979,0.696080052155839
"cond.166","cond","variable","(Intercept)","K00274",1.20860657567763,0.695125608322496
"cond.167","cond","variable","(Intercept)","K00275",1.10103441195159,0.695404521213573
"cond.168","cond","variable","(Intercept)","K00276",1.08908282905473,0.69672708864436
"cond.169","cond","variable","(Intercept)","K00278",1.61799125399133,0.694089413697028
"cond.170","cond","variable","(Intercept)","K00281",1.49357321085839,0.694874307960155
"cond.171","cond","variable","(Intercept)","K00282",1.02074333010706,0.695446588172308
"cond.172","cond","variable","(Intercept)","K00283",1.06123923316609,0.695410897395699
"cond.173","cond","variable","(Intercept)","K00284",1.14989131254957,0.695034650397554
"cond.174","cond","variable","(Intercept)","K00285",1.9390442073596,0.693775629855073
"cond.175","cond","variable","(Intercept)","K00286",1.28656374108714,0.694871509009949
"cond.176","cond","variable","(Intercept)","K00287",1.11783856079675,0.6954967181861
"cond.177","cond","variable","(Intercept)","K00290",0.0176726954635982,0.703277712796132
"cond.178","cond","variable","(Intercept)","K00294",-1.89825006330829,0.732937278002815
"cond.179","cond","variable","(Intercept)","K00297",1.4967677888734,0.694465578053664
"cond.180","cond","variable","(Intercept)","K00299",0.658876381131455,0.697672974642213
"cond.181","cond","variable","(Intercept)","K00301",-0.00965239058452923,0.708262272027336
"cond.182","cond","variable","(Intercept)","K00302",1.12907158729177,0.695928679512319
"cond.183","cond","variable","(Intercept)","K00303",1.08237455181081,0.697104946164063
"cond.184","cond","variable","(Intercept)","K00304",-0.306342375172842,0.703351229303061
"cond.185","cond","variable","(Intercept)","K00305",-0.270289525921942,0.704240284798634
"cond.186","cond","variable","(Intercept)","K00306",-1.55471299018485,0.721090414808634
"cond.187","cond","variable","(Intercept)","K00311",1.38602536332999,0.694530690211306
"cond.188","cond","variable","(Intercept)","K00313",0.897680087099538,0.695949218749958
"cond.189","cond","variable","(Intercept)","K00314",-0.819267489030096,0.711286004888637
"cond.190","cond","variable","(Intercept)","K00315",-1.31219326650148,0.724311884314962
"cond.191","cond","variable","(Intercept)","K00316",-0.290247339900438,0.704733622914436
"cond.192","cond","variable","(Intercept)","K00317",-1.30862984001181,0.717574991711076
"cond.193","cond","variable","(Intercept)","K00320",-0.796484983474531,0.719894539750101
"cond.194","cond","variable","(Intercept)","K00322",0.435974602373517,0.698411165440365
"cond.195","cond","variable","(Intercept)","K00324",1.71735457139551,0.693920317223095
"cond.196","cond","variable","(Intercept)","K00325",1.63708473247008,0.694069126675749
"cond.197","cond","variable","(Intercept)","K00326",-1.08718334280027,0.71411059928196
"cond.198","cond","variable","(Intercept)","K00329",0.84625203178889,0.696417261004542
"cond.199","cond","variable","(Intercept)","K00330",0.661524505565762,0.69699489877826
"cond.200","cond","variable","(Intercept)","K00331",0.904850490309822,0.695963991270527
"cond.201","cond","variable","(Intercept)","K00332",0.712144614627363,0.696691886978872
"cond.202","cond","variable","(Intercept)","K00333",1.13184203315916,0.695144861424844
"cond.203","cond","variable","(Intercept)","K00334",1.21151764790693,0.694893778834046
"cond.204","cond","variable","(Intercept)","K00335",1.47630722884474,0.694269663348962
"cond.205","cond","variable","(Intercept)","K00336",1.68717961292585,0.693902768896912
"cond.206","cond","variable","(Intercept)","K00337",1.22526522260302,0.69492942597493
"cond.207","cond","variable","(Intercept)","K00338",0.807310705194454,0.696349515079153
"cond.208","cond","variable","(Intercept)","K00339",0.883763488392043,0.696051682537006
"cond.209","cond","variable","(Intercept)","K00340",0.596207129781023,0.697289661558389
"cond.210","cond","variable","(Intercept)","K00341",1.62217196964724,0.693999812763977
"cond.211","cond","variable","(Intercept)","K00342",1.57696420330987,0.694149919215343
"cond.212","cond","variable","(Intercept)","K00343",1.41192507945749,0.694425938373521
"cond.213","cond","variable","(Intercept)","K00344",2.51302392358016,0.693168303535719
"cond.214","cond","variable","(Intercept)","K00346",0.155607255987127,0.700279456885914
"cond.215","cond","variable","(Intercept)","K00347",0.0426145484181566,0.700959289323835
"cond.216","cond","variable","(Intercept)","K00348",-0.0657245844879716,0.701184044115892
"cond.217","cond","variable","(Intercept)","K00349",-0.140982287615994,0.701709582007334
"cond.218","cond","variable","(Intercept)","K00350",0.026949661933169,0.700926177573695
"cond.219","cond","variable","(Intercept)","K00351",0.150739298544178,0.700280298996298
"cond.220","cond","variable","(Intercept)","K00354",0.920282529538876,0.697211842088124
"cond.221","cond","variable","(Intercept)","K00355",0.646174627693437,0.698404773684662
"cond.222","cond","variable","(Intercept)","K00356",0.555356836406505,0.697949763219004
"cond.223","cond","variable","(Intercept)","K00362",1.21984786293204,0.695214311504938
"cond.224","cond","variable","(Intercept)","K00363",0.0427490805836881,0.70047150935413
"cond.225","cond","variable","(Intercept)","K00364",0.434168116084697,0.698380107892451
"cond.226","cond","variable","(Intercept)","K00365",-0.978547781964666,0.712654599966069
"cond.227","cond","variable","(Intercept)","K00366",-0.650245911798973,0.714430654117336
"cond.228","cond","variable","(Intercept)","K00368",0.322792109598894,0.699599325644516
"cond.229","cond","variable","(Intercept)","K00370",0.327664511997403,0.700642532339064
"cond.230","cond","variable","(Intercept)","K00371",0.049296721049095,0.701354691679748
"cond.231","cond","variable","(Intercept)","K00372",0.95927529824688,0.695990365989734
"cond.232","cond","variable","(Intercept)","K00373",-0.139467675299307,0.703100043808856
"cond.233","cond","variable","(Intercept)","K00374",-0.585341454291327,0.70833953367471
"cond.234","cond","variable","(Intercept)","K00375",1.65986509371559,0.694272958599428
"cond.235","cond","variable","(Intercept)","K00376",-0.61736964359911,0.707788052099877
"cond.236","cond","variable","(Intercept)","K00380",1.52909934082137,0.694140020620622
"cond.237","cond","variable","(Intercept)","K00381",1.54915221660392,0.694126361582
"cond.238","cond","variable","(Intercept)","K00382",2.34136423824474,0.693287424337556
"cond.239","cond","variable","(Intercept)","K00383",1.4022193972736,0.694525741380119
"cond.240","cond","variable","(Intercept)","K00384",1.89628846486129,0.693736008573821
"cond.241","cond","variable","(Intercept)","K00385",-2.16641011851342,0.744139381984208
"cond.242","cond","variable","(Intercept)","K00387",0.0202394566714276,0.708498525673598
"cond.243","cond","variable","(Intercept)","K00389",-0.791813366408401,0.718154908495034
"cond.244","cond","variable","(Intercept)","K00390",1.040565176236,0.695591788012748
"cond.245","cond","variable","(Intercept)","K00392",-1.529616164622,0.732256948674571
"cond.246","cond","variable","(Intercept)","K00394",-0.744086920204022,0.70887340953909
"cond.247","cond","variable","(Intercept)","K00404",1.35128496162919,0.694613967919524
"cond.248","cond","variable","(Intercept)","K00405",0.796349786752564,0.696540323115411
"cond.249","cond","variable","(Intercept)","K00406",0.883978278555783,0.696105646868628
"cond.250","cond","variable","(Intercept)","K00407",0.111205771262431,0.700496216478929
"cond.251","cond","variable","(Intercept)","K00410",-0.844576200951189,0.717775479336029
"cond.252","cond","variable","(Intercept)","K00411",0.854701835340345,0.696189010975704
"cond.253","cond","variable","(Intercept)","K00412",1.15557549446256,0.695063015497418
"cond.254","cond","variable","(Intercept)","K00413",0.623571601708777,0.697253009551747
"cond.255","cond","variable","(Intercept)","K00425",1.82689244216279,0.693733337116924
"cond.256","cond","variable","(Intercept)","K00426",1.59446938147228,0.694106876559724
"cond.257","cond","variable","(Intercept)","K00427",0.47459685388488,0.698133142722924
"cond.258","cond","variable","(Intercept)","K00428",1.0050091683285,0.695842937763067
"cond.259","cond","variable","(Intercept)","K00432",1.05118648049954,0.695599708466885
"cond.260","cond","variable","(Intercept)","K00433",1.64139453908848,0.694107382390658
"cond.261","cond","variable","(Intercept)","K00436",-0.534804266980703,0.707061811831924
"cond.262","cond","variable","(Intercept)","K00441",-0.724796871310984,0.711435687799693
"cond.263","cond","variable","(Intercept)","K00446",0.581581641632968,0.700099649714542
"cond.264","cond","variable","(Intercept)","K00448",0.193858085004551,0.700165008137915
"cond.265","cond","variable","(Intercept)","K00449",0.282761679137134,0.699733843094234
"cond.266","cond","variable","(Intercept)","K00450",0.331116757392698,0.699129769668106
"cond.267","cond","variable","(Intercept)","K00451",-0.195226495449914,0.703573816762164
"cond.268","cond","variable","(Intercept)","K00452",0.0287475771528684,0.700737863779231
"cond.269","cond","variable","(Intercept)","K00453",0.24217410623635,0.699520329300009
"cond.270","cond","variable","(Intercept)","K00455",0.258230711361493,0.699162014079721
"cond.271","cond","variable","(Intercept)","K00456",-1.71236470790234,0.726704262983279
"cond.272","cond","variable","(Intercept)","K00457",1.36983397580184,0.695033477730569
"cond.273","cond","variable","(Intercept)","K00459",1.21584439523738,0.695942094979766
"cond.274","cond","variable","(Intercept)","K00461",-1.9153464730104,0.73941748170286
"cond.275","cond","variable","(Intercept)","K00464",-0.368706002521885,0.706468447330423
"cond.276","cond","variable","(Intercept)","K00467",-0.960725264040782,0.713765267853089
"cond.277","cond","variable","(Intercept)","K00469",-2.01604188559988,0.738366809295296
"cond.278","cond","variable","(Intercept)","K00471",-1.40443925596801,0.724820882651251
"cond.279","cond","variable","(Intercept)","K00472",-1.61067890224888,0.724577424101655
"cond.280","cond","variable","(Intercept)","K00477",-0.922133245435395,0.71311231240917
"cond.281","cond","variable","(Intercept)","K00479",0.0582727104491035,0.700801197251979
"cond.282","cond","variable","(Intercept)","K00480",1.03223005088706,0.695636341023361
"cond.283","cond","variable","(Intercept)","K00481",0.897243117900466,0.697208948508213
"cond.284","cond","variable","(Intercept)","K00483",-0.0205271319358037,0.705442662199057
"cond.285","cond","variable","(Intercept)","K00484",-0.474658418874774,0.708012206002516
"cond.286","cond","variable","(Intercept)","K00485",-0.43285060138169,0.715033941772201
"cond.287","cond","variable","(Intercept)","K00493",0.435363038438888,0.702035669684183
"cond.288","cond","variable","(Intercept)","K00494",-1.36204670126038,0.718518167781839
"cond.289","cond","variable","(Intercept)","K00496",-1.29277735302407,0.722582306844881
"cond.290","cond","variable","(Intercept)","K00499",-0.905581806994591,0.709905765836667
"cond.291","cond","variable","(Intercept)","K00500",-0.910413441573683,0.715289455635449
"cond.292","cond","variable","(Intercept)","K00504",-1.66015184653955,0.744361264912575
"cond.293","cond","variable","(Intercept)","K00507",-1.25804608028042,0.717815038297249
"cond.294","cond","variable","(Intercept)","K00512",-1.62827895232141,0.735504598559006
"cond.295","cond","variable","(Intercept)","K00520",-1.4313281270301,0.726247599241397
"cond.296","cond","variable","(Intercept)","K00523",-0.14039765566959,0.702627685495617
"cond.297","cond","variable","(Intercept)","K00525",2.36405496050697,0.693220871600723
"cond.298","cond","variable","(Intercept)","K00526",1.16000214550869,0.695745270852885
"cond.299","cond","variable","(Intercept)","K00528",1.36096550976395,0.694793414499606
"cond.300","cond","variable","(Intercept)","K00529",1.72558010077543,0.693940896823148
"cond.301","cond","variable","(Intercept)","K00531",-0.475215914003611,0.706361069712463
"cond.302","cond","variable","(Intercept)","K00532",-2.1317958716219,0.742039146815791
"cond.303","cond","variable","(Intercept)","K00534",0.095043394636544,0.70064026422491
"cond.304","cond","variable","(Intercept)","K00537",1.00503589153847,0.695756706845782
"cond.305","cond","variable","(Intercept)","K00547",0.833942384848359,0.696290841006564
"cond.306","cond","variable","(Intercept)","K00548",2.19830920489329,0.693289004970462
"cond.307","cond","variable","(Intercept)","K00549",1.72033628486024,0.694240903783243
"cond.308","cond","variable","(Intercept)","K00554",1.2931901996457,0.694855844160313
"cond.309","cond","variable","(Intercept)","K00556",0.563440565490892,0.69787305081451
"cond.310","cond","variable","(Intercept)","K00557",0.201808257012518,0.699636677570548
"cond.311","cond","variable","(Intercept)","K00558",1.55194622881528,0.694293701939076
"cond.312","cond","variable","(Intercept)","K00559",-2.32676277794224,0.765846819231624
"cond.313","cond","variable","(Intercept)","K00560",1.38304352051699,0.694690358272055
"cond.314","cond","variable","(Intercept)","K00563",-0.114402415908251,0.702013036162632
"cond.315","cond","variable","(Intercept)","K00564",1.31185047135084,0.694889838133485
"cond.316","cond","variable","(Intercept)","K00566",1.47966770922697,0.694368706479979
"cond.317","cond","variable","(Intercept)","K00567",1.05504044333147,0.695750618730742
"cond.318","cond","variable","(Intercept)","K00568",1.64636612191528,0.69404057573921
"cond.319","cond","variable","(Intercept)","K00569",-1.4572949517935,0.71915300263899
"cond.320","cond","variable","(Intercept)","K00570",1.26557015080379,0.694818068273135
"cond.321","cond","variable","(Intercept)","K00571",0.935646994612823,0.697261267404464
"cond.322","cond","variable","(Intercept)","K00573",1.48137632075293,0.694371592242907
"cond.323","cond","variable","(Intercept)","K00574",1.6438733186617,0.694214914903666
"cond.324","cond","variable","(Intercept)","K00575",1.52356030209167,0.694218958630035
"cond.325","cond","variable","(Intercept)","K00587",0.395731055647052,0.698777810085526
