"","component","grpvar","term","grp","condval","condsd"
"cond.75","cond","variable:food.microbes","(Intercept)","ASV0001:Larval food_ALL",10.2289665295908,2.66496428807456
"cond.76","cond","variable:food.microbes","(Intercept)","ASV0001:Larval food_ECO",18.5552052917936,2.00553684000262
"cond.77","cond","variable:food.microbes","(Intercept)","ASV0001:Larval food_EMO",-0.625271881937,2.14671728718212
"cond.78","cond","variable:food.microbes","(Intercept)","ASV0001:Larval food_MEM",-0.677470177076723,2.10486481411778
"cond.79","cond","variable:food.microbes","(Intercept)","ASV0001:Larval food_MMO",-1.59361389213467,4.15096092032255
"cond.80","cond","variable:food.microbes","(Intercept)","ASV0002:Bamboo_ALL",-3.28042677371922,2.06200658074142
"cond.81","cond","variable:food.microbes","(Intercept)","ASV0002:Bamboo_ECO",13.7417943506334,2.05768772996391
"cond.82","cond","variable:food.microbes","(Intercept)","ASV0002:Bamboo_EMO",-2.74135051279735,2.05677006031522
"cond.83","cond","variable:food.microbes","(Intercept)","ASV0002:Bamboo_MEM",-2.92232695010019,2.08651920110825
"cond.84","cond","variable:food.microbes","(Intercept)","ASV0002:Bamboo_MMO",9.43528090587847,2.31651431059221
"cond.85","cond","variable:food.microbes","(Intercept)","ASV0002:Larval food_ALL",4.82459610470527,2.76039500526346
"cond.86","cond","variable:food.microbes","(Intercept)","ASV0002:Larval food_ECO",13.459638957312,2.11082023343659
"cond.87","cond","variable:food.microbes","(Intercept)","ASV0002:Larval food_EMO",1.97017401365987,2.22082403778359
"cond.88","cond","variable:food.microbes","(Intercept)","ASV0002:Larval food_MEM",1.87438727813026,2.18664407793883
"cond.89","cond","variable:food.microbes","(Intercept)","ASV0002:Larval food_MMO",9.76145502721404,2.19512446041304
"cond.90","cond","variable:food.microbes","(Intercept)","ASV0003:Bamboo_ALL",-2.28527783924901,1.88037326382055
"cond.91","cond","variable:food.microbes","(Intercept)","ASV0003:Bamboo_ECO",-0.0812568816905913,6.088003065874
"cond.92","cond","variable:food.microbes","(Intercept)","ASV0003:Bamboo_EMO",-10.2525791804274,2.53927508514646
"cond.93","cond","variable:food.microbes","(Intercept)","ASV0003:Bamboo_MEM",-1.10959563727106,1.885804659173
"cond.94","cond","variable:food.microbes","(Intercept)","ASV0003:Bamboo_MMO",13.5161453461542,2.06101948068585
"cond.95","cond","variable:food.microbes","(Intercept)","ASV0003:Larval food_ALL",4.55197689801363,2.48788593642937
"cond.96","cond","variable:food.microbes","(Intercept)","ASV0003:Larval food_ECO",-0.0462571381168198,6.18785046429397
"cond.97","cond","variable:food.microbes","(Intercept)","ASV0003:Larval food_EMO",-6.13212531713985,2.91260604000801
"cond.98","cond","variable:food.microbes","(Intercept)","ASV0003:Larval food_MEM",4.98815374790327,1.9743768169866
"cond.99","cond","variable:food.microbes","(Intercept)","ASV0003:Larval food_MMO",13.7982974791,1.95127736838121
"cond.100","cond","variable:food.microbes","(Intercept)","ASV0004:Bamboo_ALL",2.22509534973805,1.93535194123605
"cond.101","cond","variable:food.microbes","(Intercept)","ASV0004:Bamboo_ECO",-0.141572895780926,5.92842702871448
"cond.102","cond","variable:food.microbes","(Intercept)","ASV0004:Bamboo_EMO",2.14006125898674,1.92761055648269
"cond.103","cond","variable:food.microbes","(Intercept)","ASV0004:Bamboo_MEM",2.88119666459037,1.94719195491113
"cond.104","cond","variable:food.microbes","(Intercept)","ASV0004:Bamboo_MMO",-1.84523335673564,3.98727257323038
"cond.105","cond","variable:food.microbes","(Intercept)","ASV0004:Larval food_ALL",7.35495481351838,2.56673779243636
"cond.106","cond","variable:food.microbes","(Intercept)","ASV0004:Larval food_ECO",-0.0825525973804189,6.08466147108919
"cond.107","cond","variable:food.microbes","(Intercept)","ASV0004:Larval food_EMO",5.13642143400763,2.06357134066545
"cond.108","cond","variable:food.microbes","(Intercept)","ASV0004:Larval food_MEM",4.94427915768658,2.03896262060389
"cond.109","cond","variable:food.microbes","(Intercept)","ASV0004:Larval food_MMO",-1.27916958184025,4.33692740373074
"cond.110","cond","variable:food.microbes","(Intercept)","ASV0005:Bamboo_ALL",1.24682984274762,1.94031008467481
"cond.111","cond","variable:food.microbes","(Intercept)","ASV0005:Bamboo_ECO",-0.17274659858158,5.8514062422017
"cond.112","cond","variable:food.microbes","(Intercept)","ASV0005:Bamboo_EMO",1.10261892422684,1.93463175532243
"cond.113","cond","variable:food.microbes","(Intercept)","ASV0005:Bamboo_MEM",2.12823833774466,1.95482814931717
"cond.114","cond","variable:food.microbes","(Intercept)","ASV0005:Bamboo_MMO",-1.99856781130491,3.90874446991666
"cond.115","cond","variable:food.microbes","(Intercept)","ASV0005:Larval food_ALL",9.45209471892422,2.57845581957722
"cond.116","cond","variable:food.microbes","(Intercept)","ASV0005:Larval food_ECO",-0.101925967294197,6.03196428348436
"cond.117","cond","variable:food.microbes","(Intercept)","ASV0005:Larval food_EMO",6.16660653640813,2.07171376877084
"cond.118","cond","variable:food.microbes","(Intercept)","ASV0005:Larval food_MEM",6.56233755262763,2.04678144115388
"cond.119","cond","variable:food.microbes","(Intercept)","ASV0005:Larval food_MMO",-1.41178052781933,4.23739717333883
"cond.120","cond","variable:food.microbes","(Intercept)","ASV0007:Bamboo_ALL",-3.78571747255116,1.96078559095045
"cond.121","cond","variable:food.microbes","(Intercept)","ASV0007:Bamboo_ECO",-0.345213074114424,5.48001121911739
"cond.122","cond","variable:food.microbes","(Intercept)","ASV0007:Bamboo_EMO",-3.34885044177599,1.94731644190803
"cond.123","cond","variable:food.microbes","(Intercept)","ASV0007:Bamboo_MEM",-3.22884382838902,1.97133424146861
"cond.124","cond","variable:food.microbes","(Intercept)","ASV0007:Bamboo_MMO",11.161468926209,2.19831075222739
"cond.125","cond","variable:food.microbes","(Intercept)","ASV0007:Larval food_ALL",6.95169329979044,2.61884011571807
"cond.126","cond","variable:food.microbes","(Intercept)","ASV0007:Larval food_ECO",-0.215946607594984,5.75091618882652
"cond.127","cond","variable:food.microbes","(Intercept)","ASV0007:Larval food_EMO",4.45674281843477,2.09883560870578
"cond.128","cond","variable:food.microbes","(Intercept)","ASV0007:Larval food_MEM",4.62193830768189,2.06900344507664
"cond.129","cond","variable:food.microbes","(Intercept)","ASV0007:Larval food_MMO",12.8689478990492,2.06961015413138
"cond.130","cond","variable:food.microbes","(Intercept)","ASV0008:Bamboo_ALL",1.43340859772155,1.94887524409416
"cond.131","cond","variable:food.microbes","(Intercept)","ASV0008:Bamboo_ECO",-0.183674833340845,5.82507819180567
"cond.132","cond","variable:food.microbes","(Intercept)","ASV0008:Bamboo_EMO",1.45501603065312,1.93247966478375
"cond.133","cond","variable:food.microbes","(Intercept)","ASV0008:Bamboo_MEM",2.249502831984,1.95442350729375
"cond.134","cond","variable:food.microbes","(Intercept)","ASV0008:Bamboo_MMO",10.4549318900646,2.17866383046782
"cond.135","cond","variable:food.microbes","(Intercept)","ASV0008:Larval food_ALL",4.50159112635968,2.58823249278328
"cond.136","cond","variable:food.microbes","(Intercept)","ASV0008:Larval food_ECO",-0.108813063933561,6.01356015094156
"cond.137","cond","variable:food.microbes","(Intercept)","ASV0008:Larval food_EMO",2.66887603672949,2.07890092473941
"cond.138","cond","variable:food.microbes","(Intercept)","ASV0008:Larval food_MEM",2.46741096845727,2.05089614790292
"cond.139","cond","variable:food.microbes","(Intercept)","ASV0008:Larval food_MMO",-1.44947094807698,4.21561325080754
"cond.140","cond","variable:food.microbes","(Intercept)","ASV0009:Bamboo_ALL",-1.60587649183932,1.95602053362224
"cond.141","cond","variable:food.microbes","(Intercept)","ASV0009:Bamboo_ECO",-0.429836858969398,5.32599992382949
"cond.142","cond","variable:food.microbes","(Intercept)","ASV0009:Bamboo_EMO",-1.7952661134335,1.95182661574732
"cond.143","cond","variable:food.microbes","(Intercept)","ASV0009:Bamboo_MEM",-1.04466553631834,1.97530479944163
"cond.144","cond","variable:food.microbes","(Intercept)","ASV0009:Bamboo_MMO",9.9412712183002,2.16442033104499
"cond.145","cond","variable:food.microbes","(Intercept)","ASV0009:Larval food_ALL",7.12884373067902,2.61743567549813
"cond.146","cond","variable:food.microbes","(Intercept)","ASV0009:Larval food_ECO",-0.275663168339674,5.62104746786266
"cond.147","cond","variable:food.microbes","(Intercept)","ASV0009:Larval food_EMO",3.903051779777,2.09764241763007
"cond.148","cond","variable:food.microbes","(Intercept)","ASV0009:Larval food_MEM",3.98776258073514,2.06952294162378
"cond.149","cond","variable:food.microbes","(Intercept)","ASV0009:Larval food_MMO",11.4917270754776,2.05761884497275
"cond.150","cond","variable:food.microbes","(Intercept)","ASV0010:Bamboo_ALL",0.957663531465638,1.92599100560149
"cond.151","cond","variable:food.microbes","(Intercept)","ASV0010:Bamboo_ECO",-0.122746666398688,5.97669046051778
"cond.152","cond","variable:food.microbes","(Intercept)","ASV0010:Bamboo_EMO",0.866487883660102,1.91926487131969
"cond.153","cond","variable:food.microbes","(Intercept)","ASV0010:Bamboo_MEM",1.49464111752589,1.93787953501015
"cond.154","cond","variable:food.microbes","(Intercept)","ASV0010:Bamboo_MMO",-1.74304816891853,4.03965846875977
"cond.155","cond","variable:food.microbes","(Intercept)","ASV0010:Larval food_ALL",8.63501391161071,2.5512483281335
"cond.156","cond","variable:food.microbes","(Intercept)","ASV0010:Larval food_ECO",-0.0710523706433554,6.11671367064833
"cond.157","cond","variable:food.microbes","(Intercept)","ASV0010:Larval food_EMO",5.70667583083736,2.05180364197292
"cond.158","cond","variable:food.microbes","(Intercept)","ASV0010:Larval food_MEM",5.64935139512686,2.0281803423455
"cond.159","cond","variable:food.microbes","(Intercept)","ASV0010:Larval food_MMO",-1.19045369459573,4.40768683919946
"cond.160","cond","variable:food.microbes","(Intercept)","ASV0011:Bamboo_ALL",-1.00764919366338,1.95502843110638
"cond.161","cond","variable:food.microbes","(Intercept)","ASV0011:Bamboo_ECO",-0.110699901579716,6.0083095422432
"cond.162","cond","variable:food.microbes","(Intercept)","ASV0011:Bamboo_EMO",0.586441624270979,1.9352834142982
"cond.163","cond","variable:food.microbes","(Intercept)","ASV0011:Bamboo_MEM",-0.134620354688927,1.95593127959158
"cond.164","cond","variable:food.microbes","(Intercept)","ASV0011:Bamboo_MMO",-1.65747928035431,4.10960031247239
"cond.165","cond","variable:food.microbes","(Intercept)","ASV0011:Larval food_ALL",9.02348386223141,2.58405409445765
"cond.166","cond","variable:food.microbes","(Intercept)","ASV0011:Larval food_ECO",-0.0637743248736046,6.13730850615008
"cond.167","cond","variable:food.microbes","(Intercept)","ASV0011:Larval food_EMO",6.84863427128488,2.07945409881775
"cond.168","cond","variable:food.microbes","(Intercept)","ASV0011:Larval food_MEM",7.00090459857523,2.05231361793285
"cond.169","cond","variable:food.microbes","(Intercept)","ASV0011:Larval food_MMO",-1.12456597172895,4.47213258848654
"cond.170","cond","variable:food.microbes","(Intercept)","ASV0012:Bamboo_ALL",-2.47801788147081,1.99013254799229
"cond.171","cond","variable:food.microbes","(Intercept)","ASV0012:Bamboo_ECO",-0.402572344386869,5.37397590615166
"cond.172","cond","variable:food.microbes","(Intercept)","ASV0012:Bamboo_EMO",-0.750948865803356,1.97050085684791
"cond.173","cond","variable:food.microbes","(Intercept)","ASV0012:Bamboo_MEM",-1.08395082702612,1.9964999478967
"cond.174","cond","variable:food.microbes","(Intercept)","ASV0012:Bamboo_MMO",9.57725440374665,2.25274875958586
"cond.175","cond","variable:food.microbes","(Intercept)","ASV0012:Larval food_ALL",6.02242161890716,2.65558369532316
"cond.176","cond","variable:food.microbes","(Intercept)","ASV0012:Larval food_ECO",-0.256178299395793,5.66230439078456
"cond.177","cond","variable:food.microbes","(Intercept)","ASV0012:Larval food_EMO",4.00706082767981,2.13055815666929
"cond.178","cond","variable:food.microbes","(Intercept)","ASV0012:Larval food_MEM",4.44307717420267,2.09823165606308
"cond.179","cond","variable:food.microbes","(Intercept)","ASV0012:Larval food_MMO",11.5622825601255,2.11011540710865
"cond.180","cond","variable:food.microbes","(Intercept)","ASV0015:Bamboo_ALL",1.27924345069152,2.03573346525136
"cond.181","cond","variable:food.microbes","(Intercept)","ASV0015:Bamboo_ECO",-0.0617236213783671,6.14305754955322
"cond.182","cond","variable:food.microbes","(Intercept)","ASV0015:Bamboo_EMO",0.553070048131468,1.97915018758716
"cond.183","cond","variable:food.microbes","(Intercept)","ASV0015:Bamboo_MEM",-0.196658900158816,2.00550147453333
"cond.184","cond","variable:food.microbes","(Intercept)","ASV0015:Bamboo_MMO",-1.25599681691518,4.43059134872226
"cond.185","cond","variable:food.microbes","(Intercept)","ASV0015:Larval food_ALL",7.01693122580159,2.6452182409258
"cond.186","cond","variable:food.microbes","(Intercept)","ASV0015:Larval food_ECO",-0.0348530992293929,6.22158162004877
"cond.187","cond","variable:food.microbes","(Intercept)","ASV0015:Larval food_EMO",4.49352906809364,2.14742083444351
"cond.188","cond","variable:food.microbes","(Intercept)","ASV0015:Larval food_MEM",3.86328711775416,2.11345937493727
"cond.189","cond","variable:food.microbes","(Intercept)","ASV0015:Larval food_MMO",-0.807595021622249,4.8083750711506
"cond.190","cond","variable:food.microbes","(Intercept)","ASV0016:Bamboo_ALL",0.103436352705201,1.90429320674127
"cond.191","cond","variable:food.microbes","(Intercept)","ASV0016:Bamboo_ECO",-0.089347700179528,6.06578146757796
"cond.192","cond","variable:food.microbes","(Intercept)","ASV0016:Bamboo_EMO",0.912270332979049,1.90093755267027
"cond.193","cond","variable:food.microbes","(Intercept)","ASV0016:Bamboo_MEM",1.3141056027919,1.91717863742218
"cond.194","cond","variable:food.microbes","(Intercept)","ASV0016:Bamboo_MMO",-1.52902648667908,4.16160900596873
"cond.195","cond","variable:food.microbes","(Intercept)","ASV0016:Larval food_ALL",6.14403913209674,2.51418619027255
