,LB10,LB11,LB12,LB18,LB19,LB20,LB21,LB22,LB3,LB4,LB5,LB7,LB9,LL11,LL12,LL18,LL19,LL21,LL22,LL3,LL5,LL6,LL7,LL8,LL9,WB11,WB14,WB15,WB16,WB17,WB25,WB27,WB29,WB7,WB8,WB9,WL11,WL12,WL14,WL15,WL23,WL24,WL26,WL27,WL5,WL7,WL8,WL9
K03417,3505,3137,2810,1198,5889,4438,1068,879,2691,1668,1503,3290,969,19,7,96,299,6,34,167,6,12,37,119,147,5847,2694,3801,3004,3360,4924,3390,3789,5996,5236,3434,7288,6506,5762,7416,7281,6583,7829,6502,6720,7044,6181,4637
K03418,1933,911,929,1018,3659,1753,674,462,929,483,198,1821,367,0,0,0,25,0,0,0,0,0,0,34,0,1120,424,192,406,107,121,68,964,298,291,74,0,0,0,0,4,0,0,0,4,18,0,0
K03420,21,57,0,0,0,0,0,0,1264,682,304,989,0,0,33,0,23,0,0,0,0,0,0,0,0,94,12,56,0,0,0,11,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
K03424,2441,2038,1943,1979,4489,3781,905,1581,2406,2112,1888,4988,899,130,59,2010,2908,243,606,950,420,406,272,862,435,12637,6209,7985,6986,6824,10939,7546,10197,11726,14724,6057,14003,13747,11300,13749,16377,13681,17471,13370,14309,15673,12849,15606
K03425,28,19,48,107,59,95,13,103,105,141,72,289,65,0,27,33,60,0,29,46,49,48,15,79,0,436,23,56,63,23,66,37,20,322,745,158,93,97,89,83,160,175,312,152,210,229,164,505
K03426,2430,1913,1987,1427,4265,3094,793,1001,2290,1424,1598,3540,799,153,42,2117,2888,167,431,543,182,279,100,492,467,7428,2847,4426,3082,3526,4860,3538,5394,7125,7245,4381,5838,5533,4942,5535,6653,5756,7164,5597,7853,8212,7001,6693
K03427,1330,881,1252,2519,2546,3225,728,2310,1579,2588,2237,4268,705,469,77,3235,4474,194,639,697,411,687,92,983,1693,7501,5871,6683,6410,5714,8539,6014,11591,6001,7163,3790,11498,11439,9032,11685,15365,13900,15109,11462,6182,3042,9796,11297
K03428,0,56,159,96,170,104,57,35,234,148,5,426,0,0,0,1382,1699,34,226,173,0,14,20,94,297,0,18,7,53,0,61,3,55,47,0,0,255,386,227,179,629,416,328,459,36,0,0,0
K03429,0,0,0,0,0,28,0,0,0,0,80,27,0,11,0,80,20,65,0,10,0,54,6,2,0,199,72,219,26,257,142,77,218,406,250,210,775,765,687,411,1400,600,748,560,1201,1270,1353,1626
K03430,0,0,0,391,292,220,117,120,589,173,707,940,27,0,4,0,0,0,0,0,0,148,0,23,41,187,625,529,702,430,386,253,883,1438,149,566,884,1333,1236,1173,1094,1721,2805,1349,11,115,0,41
K03431,3410,2719,2776,2670,6356,6318,1228,1705,3176,2392,2531,5145,1264,182,61,2844,4112,300,635,787,324,266,119,700,795,12670,5192,7918,5162,6130,10250,7734,9169,11228,11692,6561,8336,8745,7133,7485,9733,8218,10760,8164,13243,13536,11439,11283
K03432,9,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K03433,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
