,LB10,LB11,LB12,LB18,LB19,LB20,LB21,LB22,LB3,LB4,LB5,LB7,LB9,LL11,LL12,LL18,LL19,LL21,LL22,LL3,LL5,LL6,LL7,LL8,LL9,WB11,WB14,WB15,WB16,WB17,WB25,WB27,WB29,WB7,WB8,WB9,WL11,WL12,WL14,WL15,WL23,WL24,WL26,WL27,WL5,WL7,WL8,WL9
K00001,9821,6854,6512,7225,17908,12304,3446,4556,10008,6742,7483,15576,2298,826,282,2898,5148,662,792,964,736,496,210,1751,1722,10123,10690,14956,11942,12408,19762,14178,23124,9968,14796,6478,15772,17069,13121,15140,20714,16801,23068,16114,9719,10173,11562,13430
K00002,28,114,104,96,113,88,31,17,7,0,22,0,14,0,0,35,108,24,10,0,0,0,0,21,11,34,90,142,488,121,56,43,153,7,24,0,1619,788,778,1728,1458,1526,1380,1157,0,0,0,0
K00003,6977,6059,5382,2779,12361,8922,2295,1555,3697,1965,2769,4935,2174,168,101,2362,3309,262,378,529,0,39,93,459,614,10704,6408,8073,5883,7113,11089,8199,10588,9843,8956,5923,9455,11776,8657,8150,13239,9041,10997,8523,13040,13311,12572,10799
K00004,983,646,671,506,1531,1019,276,300,345,957,143,1392,224,201,26,61,100,148,0,8,0,51,0,43,211,458,1994,2778,2587,2615,5482,4617,3328,1377,1519,894,2440,1612,1806,2114,2741,2487,3212,2808,1535,1688,1364,1807
K00005,44,91,20,380,322,432,70,420,374,442,489,1014,70,84,8,114,218,46,138,147,251,109,52,114,88,1590,480,480,768,309,656,339,608,1506,4060,649,1075,819,985,800,1198,1311,3041,1256,704,917,621,1699
K00006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00007,132,102,135,404,226,323,52,399,448,456,412,1087,144,8,22,248,448,52,143,325,229,103,115,302,11,3013,537,369,427,166,308,269,530,2198,5151,1311,1280,2331,1921,1295,3018,2604,3413,2208,6382,5883,6524,7507
K00008,2031,1756,2146,2452,3035,2657,967,1545,1394,2047,1231,5030,874,344,160,240,734,144,275,316,442,217,81,587,430,5700,1205,1550,942,1286,1701,981,2557,4651,5132,2237,1516,1702,1347,1280,1852,1546,2782,1283,3649,3450,3508,4445
K00009,1774,1803,1695,934,3034,2868,554,880,867,1242,1089,2401,728,63,31,119,299,18,149,168,252,155,42,336,103,1989,299,324,721,270,449,552,398,1414,2875,732,1583,753,572,403,730,1201,2087,693,994,982,732,2042
K00010,11102,6154,7014,7460,17205,12459,4329,4337,3880,3702,7522,7920,3037,707,137,613,1680,395,230,715,251,171,214,940,855,6573,8552,8475,9658,6228,10801,6118,15172,4947,15009,3694,8455,14456,9223,8581,15254,9957,14374,9806,12678,13803,12305,13174
K00011,549,313,448,698,423,624,273,212,385,87,635,591,211,0,0,0,25,0,0,0,0,0,0,105,0,524,299,386,308,359,381,193,320,1308,1330,571,567,999,564,580,986,909,1217,712,10,153,313,34
K00012,4514,3884,3473,2725,8722,5387,1554,1855,3370,2203,2304,5857,1414,178,21,3054,3983,266,602,1020,302,162,187,704,805,14058,10086,14618,10398,12543,20505,16038,16136,13385,14433,7827,15570,15318,11994,16159,18029,14864,20065,14982,15334,16393,12556,15162
K00013,3348,2425,2511,2016,5693,4257,1088,1354,2778,1977,1949,4560,1113,163,66,2645,3561,286,540,767,301,127,134,546,742,12216,5808,7521,6216,6443,10173,6711,10618,11015,12318,6283,10799,10995,9395,9898,12624,9922,12072,9734,12611,13012,11202,11485
K00014,6099,4841,4932,3638,12659,8340,1991,2417,5401,3535,4141,7033,1734,303,66,2238,3419,519,531,772,393,208,122,780,675,15567,8276,11099,8214,8560,12944,9354,15582,15926,15030,9745,14110,15768,13009,11029,18700,13910,18629,13066,19562,20748,20211,18276
K00015,1877,759,828,1544,4144,1661,627,580,2581,1155,1438,3497,331,163,25,2013,2677,89,253,235,19,80,18,258,517,5215,1949,1717,1659,1669,1701,671,2853,5023,4418,3406,4101,4744,3099,3773,3771,2488,3435,2178,3568,3808,3204,1855
K00016,1638,1626,1282,582,2622,2090,525,295,868,897,533,1937,490,10,0,52,269,0,15,16,0,6,3,96,8,476,390,365,445,342,333,123,566,456,270,255,1174,1017,877,697,1122,1075,1543,876,353,560,434,248
K00018,95,42,67,187,249,157,67,75,1137,624,264,958,0,9,0,1842,2235,35,294,436,3,32,47,173,351,1886,3046,5019,4051,4398,9911,9238,3780,1861,3225,1087,6192,3611,3630,6267,5383,6728,6687,6996,3691,3971,2870,3589
K00019,3859,3434,2956,2743,6836,5690,1092,1616,2751,1541,2025,4327,1424,218,67,2035,2571,314,478,687,178,95,130,409,572,8103,4055,5280,4028,4359,8442,6298,7791,8733,8300,5235,7374,8354,6277,6708,8675,7734,8947,7600,11324,12455,10031,9862
K00020,3643,3104,3581,3523,7851,5727,1787,1746,13222,7728,5531,13963,1274,537,62,2741,4528,375,601,762,0,53,51,681,1249,9533,10483,15005,11230,12431,21418,17788,20069,10796,11424,6769,12393,11138,8934,12640,13247,11829,14079,11715,11460,11914,11307,9818
K00021,0,5,0,328,203,325,45,405,369,451,392,970,5,0,0,66,224,16,125,132,245,74,54,0,0,1653,206,291,231,228,411,278,434,1050,1519,441,271,851,205,515,959,277,600,368,712,631,602,1698
K00022,0,0,15,9,0,10,12,10,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,6,0,12,0,0,0,0,10,0,8,0,0,0,123,113,6,10,0,0,8,29,0,0,0,0
K00023,1453,498,566,976,1961,1539,485,464,1323,710,1183,1827,262,94,9,1608,2025,171,306,349,17,5,48,282,387,6030,2167,2932,1799,2151,2244,1504,4482,4834,5413,3155,2992,4487,3127,2522,4076,3046,3361,2655,6876,7014,6273,5361
K00024,4925,4148,4185,2206,8305,6655,1597,1332,2394,1674,1604,4378,1505,142,46,2156,2756,176,474,618,234,153,118,561,612,8309,4551,5947,4557,5274,7721,5475,7761,6874,8487,4162,8125,8716,6463,7967,9434,7954,9902,7468,8765,9263,8248,8157
K00027,238,171,237,593,422,523,120,659,2601,1618,1091,3040,194,28,43,187,506,19,135,200,311,342,65,353,44,2605,3143,5128,3969,4718,9020,7717,4760,2347,4208,858,4487,2465,3207,4632,4208,4884,7895,5160,1020,1207,932,2616
K00029,4715,2770,3033,5002,9996,6723,2211,3066,6833,3807,3988,9369,1643,623,180,9363,11883,838,1602,2422,442,352,369,1739,2179,25401,13269,16214,12891,13369,18879,12540,24710,20433,28021,12985,23988,28300,21782,21869,31267,24986,28609,22655,34711,39739,33089,34260
K00030,0,0,0,0,0,0,0,0,196,115,129,251,0,0,0,21,5,23,30,25,0,0,6,0,0,64,11,47,21,48,33,38,27,29,0,9,60,62,65,69,88,0,8,0,36,13,26,43
K00031,4560,4026,3814,2241,8129,6332,1722,1506,3097,2678,2500,5439,1454,198,78,3081,4061,438,638,1076,218,142,215,871,761,14988,10203,14502,10133,12269,19222,13341,17725,13080,16390,7808,19719,20526,15783,17874,23592,19344,22689,18402,20870,22024,18059,20963
K00032,0,0,0,12,0,0,0,26,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,21,0,7,0,0,1058,0,449,0,5,0,10,10,0,29,0,16,0,0,0
K00033,5016,3891,3715,2552,7988,5723,1653,1621,1607,1618,1704,3995,1621,235,82,2085,2922,182,424,426,275,132,28,442,714,7735,2841,2794,2641,2725,2869,1060,4624,7361,7549,4367,5698,6301,4667,5329,5933,4116,6227,3491,5208,5606,4301,4559
K00034,2651,2028,1987,2824,4635,3799,1067,1952,2234,1675,2424,3859,962,109,74,2142,2071,206,476,638,383,156,57,571,471,11645,4505,4150,3627,3939,4349,2267,6825,11816,12078,7153,8855,10750,6603,6074,8631,6480,8456,5702,11697,12063,11917,9582
K00035,1065,481,553,532,1505,794,331,257,0,0,5,11,211,87,20,0,57,44,0,6,0,0,0,44,100,4995,1926,2359,1652,1944,2302,1619,4036,4571,3791,3170,2324,2985,2057,1553,2455,1351,1767,1256,4058,4191,3775,2234
K00036,6530,5770,5222,3330,10495,8182,2163,2152,3507,2896,2932,5791,2092,356,113,2961,4391,375,622,772,244,157,103,751,869,12597,5465,5354,5048,5048,5509,3189,9457,15266,12882,8419,9184,11316,8605,8109,11579,8237,10721,7677,14068,14730,12773,12514
K00038,2364,2142,2337,1856,4423,3568,937,803,767,853,1442,3210,828,290,14,132,288,183,0,42,0,0,0,192,648,5221,3328,4477,2816,3849,6147,4337,5677,5859,4604,3717,3765,4706,3514,3322,5028,3970,4850,3139,6228,5796,5516,4361
K00039,1729,1079,1174,1303,2464,1575,588,581,179,71,130,177,493,0,0,0,0,58,0,0,0,0,0,13,8,203,185,274,135,264,489,145,480,1209,625,536,371,493,403,383,568,509,873,409,0,170,268,44
K00040,362,234,209,1032,635,1026,279,842,879,1021,1806,2614,222,137,24,174,337,87,171,221,266,141,32,388,167,15673,4273,4660,3008,3547,4469,2888,6479,14388,14357,9182,7403,8211,6984,5993,7871,5529,9504,4887,13769,13933,13145,8266
K00041,1301,751,966,1442,2420,1705,478,901,469,797,639,1196,417,161,47,246,395,129,169,204,242,153,50,328,96,2423,2458,3457,2516,2783,3182,1763,4218,2029,4352,1501,5022,5398,3748,4706,5870,4208,6282,3379,2181,2174,2203,4721
K00042,1865,1702,1540,1348,2956,2774,552,993,3043,1822,1942,3442,687,109,72,1117,795,183,173,444,243,91,108,444,141,4964,1637,2105,1667,1610,1504,810,2170,3642,6833,1739,3632,5580,4345,2771,7268,5048,5896,4354,9956,10821,9154,9820
K00043,943,430,516,476,1599,923,332,397,1146,605,233,936,247,10,0,79,39,115,17,8,0,0,0,115,0,628,1144,1709,1171,1132,1815,1327,2949,498,432,447,1261,1937,1092,1188,2990,1316,1587,1106,1217,1196,1660,1429
K00044,16,0,0,0,0,0,28,77,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,26,700,129,79,16,170,11,0,8,2254,980,1195,2435,1566,1913,1913,1616,0,0,0,0
K00045,852,272,307,646,2538,729,179,233,131,14,33,152,149,152,5,0,78,51,0,0,0,0,0,38,136,271,306,147,697,204,208,47,697,2059,116,808,1845,942,856,2065,1442,1634,1586,1344,50,94,47,19
K00046,7865,5902,5529,3938,13802,9732,2889,2792,8400,4324,3448,9086,1839,405,66,161,643,325,12,62,12,86,31,235,455,7124,4812,6414,4235,4529,6798,4236,9416,7064,7294,4504,5382,7272,5400,5055,8143,5310,6784,4652,7272,5568,7029,5947
K00048,0,20,16,0,0,33,0,0,0,0,6,0,0,0,0,0,22,0,0,8,0,6,0,6,0,0,127,325,105,151,250,190,220,6,0,0,509,307,559,619,482,611,1788,678,41,0,38,39
K00049,0,0,0,0,0,0,0,0,81,27,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0
K00050,100,100,125,276,281,447,30,96,244,85,566,626,20,30,10,176,191,75,37,23,0,0,0,33,30,832,1263,1688,1298,973,1299,1047,3117,1386,2889,701,2770,4169,3280,2511,4938,3622,5335,3085,1985,2462,2701,2638
K00052,2865,2478,2444,2186,5321,4049,1075,1377,3468,2213,2214,5572,1068,158,75,2499,3317,187,566,670,214,124,103,568,674,10299,7215,8899,6418,7235,10841,7836,12261,9048,9768,5515,9852,11197,8363,8794,11595,9668,12087,9025,10000,11672,9318,9232
K00053,2897,2436,2443,1915,5063,4143,999,1347,2461,2035,1768,4446,1162,139,57,2282,3059,225,546,762,352,263,141,672,575,9732,5925,7157,5392,6214,9057,6265,9115,8651,10282,5129,9505,10432,7863,9175,11458,8856,11969,8767,9795,10720,9550,10305
K00054,51,142,116,137,140,140,44,62,29,0,72,0,36,0,0,0,5,15,0,6,0,0,0,0,17,394,469,502,695,540,795,280,841,492,365,300,2748,1913,1727,2927,2622,2371,2661,2136,1253,749,1757,1688
K00055,68,126,163,201,269,216,72,53,279,120,174,433,40,0,0,0,0,22,0,0,0,0,0,5,6,11057,3937,4792,3104,4151,7023,5469,6642,11366,8097,6934,5651,5779,4833,5035,5177,4125,5119,3979,8073,8079,7372,4268
K00057,2845,2228,2249,1852,5006,3897,940,1282,2183,1695,1748,3747,1058,155,62,2001,2843,196,444,575,238,197,108,545,611,9954,4982,6488,4938,5296,7650,5441,8317,8370,9731,5095,8902,8867,6914,8374,10176,8440,10350,7743,9806,10400,8640,9016
K00058,9236,5799,6165,7808,16956,11634,3683,4272,10391,5374,7603,16901,2819,400,138,5501,7820,414,1075,1092,411,380,82,1657,1682,13847,9889,11482,10787,10238,15573,9463,18780,16686,15926,29364,18583,21338,14134,18004,23925,16509,21979,15062,11787,12489,11992,12926
K00059,33506,25217,26496,28865,62524,43129,13992,15540,38553,22476,23272,57558,9925,2232,574,9736,16374,2326,2377,3301,1866,1083,757,4528,4026,74840,53726,71379,55326,59670,93934,64953,102282,74230,82490,44984,85878,96730,70788,81786,110259,83818,106682,77642,82054,88400,80898,86744
K00060,240,248,267,614,430,508,159,409,673,476,625,1679,190,18,37,292,412,15,189,311,231,122,117,362,100,2652,477,344,674,176,437,230,431,1805,4566,982,1307,1760,1702,1796,2385,2401,3020,1998,5681,5742,4953,6285
K00061,20,0,0,0,0,0,0,6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,158,77,0,99,64,64,45,167,7,141,256,199,133,269,332,601,278,0,0,0,0
K00064,8900,5094,5504,4049,13059,7951,2803,2457,727,894,905,1355,2166,106,47,1362,1602,127,223,116,6,0,0,159,499,970,1208,1964,1114,1886,2415,1349,3299,1407,877,775,1059,2389,1602,958,3627,1170,1540,946,2926,3097,3036,3590
K00065,7845,5282,5131,4416,14019,9712,1970,2975,4518,3008,3672,6742,2217,284,113,489,1015,267,297,399,506,304,92,730,257,14641,5302,6780,4086,5236,6604,4236,10125,14168,14258,8912,7799,10278,6569,5282,10353,5508,8586,4574,13211,14531,11663,11864
K00066,37,128,161,98,191,120,72,0,212,92,255,187,42,0,0,0,9,0,0,0,0,0,0,59,0,59,26,0,40,0,21,134,7,1598,295,1106,128,242,80,28,113,33,36,26,13,0,0,26
K00067,2110,1870,1864,1785,4832,3280,883,1407,4856,2759,2156,7104,826,72,20,2590,3497,203,495,657,204,262,84,478,559,5166,5284,6708,5525,5916,8548,6867,9173,5569,6838,2955,6790,8824,6324,8494,11052,6978,8995,6225,7389,7486,7052,9645
K00068,109,80,120,315,200,301,37,286,370,304,314,878,90,7,39,88,193,78,104,121,179,128,20,187,12,1184,325,261,418,228,353,221,434,998,1277,312,613,601,697,869,748,797,1805,1032,533,560,483,1281
K00069,0,0,0,11,0,4,16,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,19,43,65,0,0,0,34,0,0,0,16,0,4,249,0,0,25,6,10,0,8,0,15
K00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00073,1029,566,662,737,1569,874,300,557,385,366,571,273,318,16,37,0,8,0,0,0,0,0,0,312,0,509,162,289,439,212,543,327,648,582,1024,213,971,281,372,420,342,514,1593,479,0,38,0,0
K00074,1236,849,894,2115,3516,2299,741,1207,7223,4214,2598,8935,329,175,64,3623,4859,429,630,792,286,215,106,617,755,12632,6989,8315,7698,6966,11329,8247,14106,9599,10615,5873,15276,13640,11721,14855,17091,14275,17318,13899,12417,12539,11649,12315
K00075,3108,2401,2156,1907,5135,4130,1038,1380,2319,1864,1885,4182,915,144,62,1841,2739,148,506,675,280,297,134,588,556,8834,4334,5331,4326,4213,7148,4496,7966,7941,7985,4783,8243,8716,6995,7652,9772,7625,9886,7627,9007,9347,8401,8399
K00076,679,279,396,375,477,796,232,165,55,97,0,222,171,0,0,921,876,0,209,136,0,0,0,73,216,383,250,108,438,138,55,56,355,315,121,557,1662,890,805,1553,1017,1201,1332,1128,120,460,82,8
K00077,487,612,730,2967,2808,2429,696,1859,3850,1916,2638,8691,494,195,81,2257,2733,326,444,476,434,245,105,712,604,5753,3175,4701,3194,3537,5029,3538,7379,8934,7077,4818,6310,6753,5784,6599,9844,6694,10034,6864,5435,5429,6595,8896
K00078,20352,3491,3145,1181,6861,5043,1460,1010,583,562,675,1232,1584,10,10,70,233,25,8,15,0,0,0,0,198,433,932,796,745,748,533,107,1306,423,1146,316,556,1426,957,519,796,275,812,481,155,244,82,478
K00079,5,17,0,8,59,12,25,0,44,0,0,0,51,0,0,308,499,0,42,18,0,0,0,0,0,449,520,632,544,500,1074,316,1242,230,238,252,110,9,204,397,681,72,82,156,101,126,0,0
K00081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
K00082,0,46,4,95,21,8,19,61,146,113,159,735,14,0,0,0,0,0,0,0,0,0,0,0,43,26,12,0,0,0,0,0,0,19,6,33,28,40,54,33,71,55,33,49,0,0,0,0
K00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00084,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
K00086,5,0,0,0,0,18,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,65,0,0,0,0,0,0,0,9,12,0,0,0,0,0,4,0,76,52,86,57,104,62,66,8,10,41
K00087,42,275,236,1335,1339,832,305,785,1321,803,602,2784,122,0,22,233,619,75,256,238,323,343,36,82,4,3232,303,748,264,455,378,565,1937,1946,2963,855,1440,1169,1025,1021,1379,1503,2029,1233,1307,1546,1084,3048
K00088,7779,6867,6229,2996,12616,10092,2387,2222,4349,3568,3487,8051,2564,288,91,2887,4393,293,678,881,276,263,198,750,872,14060,7105,9321,7484,7775,12130,8844,11743,12693,13993,7120,12041,12245,9868,11753,14153,11193,14409,10609,13670,15567,12593,13889
K00090,176,157,182,440,288,435,55,500,435,449,400,1129,187,41,35,262,324,145,142,179,221,138,39,319,17,2077,1364,2452,1915,2235,4123,3092,2833,2881,3075,1567,3924,4073,3057,3769,5946,4609,5700,4444,3235,3307,3960,5008
K00091,2469,1728,1915,1809,3911,2840,927,934,2367,1795,1258,3343,707,36,0,2845,4046,231,323,215,7,9,0,212,855,3985,6389,7396,7150,6698,11467,7288,10387,3083,3553,2580,12009,10057,7831,12550,12960,9656,12542,9537,142,685,264,851
K00094,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,103,197,76,292,103,128,30,0,0,323,272,308,271,279,385,889,367,0,0,0,0
K00096,48,177,155,151,130,156,52,12,0,0,0,0,43,0,0,0,5,0,0,0,0,0,0,0,0,0,0,19,0,25,26,0,21,0,0,0,69,42,202,165,182,157,355,231,0,0,0,9
K00097,1312,800,923,1915,2393,2211,587,871,2044,1136,2314,2807,408,125,43,2046,2680,162,407,488,265,153,79,468,450,8905,5226,6424,5058,5608,8338,5658,8940,8089,8871,4984,9259,10140,7726,9799,11849,9302,12452,8600,9408,9793,8841,8924
K00098,2436,1822,1886,964,4257,3198,885,726,2100,1372,1131,2299,627,122,10,8,115,42,0,0,0,0,0,172,174,528,225,213,480,114,245,64,342,746,1371,366,578,1113,669,413,1328,924,744,860,8,148,371,33
K00099,2887,2286,2141,1776,5292,3967,897,1439,2492,1848,2004,4150,946,161,69,2440,3233,226,473,591,241,201,126,504,545,10876,4646,6067,4528,4657,7569,5212,8400,9211,10463,5649,6707,8329,6560,6570,9351,6882,8793,6504,9756,10837,9450,9557
K00100,0,6,0,0,6,30,11,0,0,0,16,0,0,0,0,42,154,6,0,12,0,0,0,0,0,12,0,6,0,0,0,4,0,0,0,0,9,0,0,0,139,93,126,13,79,0,54,78
K00101,3506,2969,2938,2717,6055,4917,1180,1406,3180,2216,2283,5958,1267,226,55,299,489,281,186,222,273,135,62,551,218,8295,5051,6254,5360,5561,9245,7323,8841,9155,9576,4975,7799,9940,6181,7037,10351,7156,9792,6827,7675,8294,8287,7454
K00102,4525,2304,2501,4575,9393,4957,1857,2146,9616,4319,5934,8996,1203,476,91,3773,4658,1058,638,1355,6,79,343,1220,951,19336,9771,13274,8405,10260,8398,6155,20564,13001,20501,10009,18584,27156,19856,14212,31895,21362,22680,18136,42320,44545,42580,40702
K00103,1893,1935,1738,643,3260,2860,619,419,608,668,1211,1600,597,125,15,692,1157,96,97,98,0,0,0,115,213,8252,2099,2515,905,2166,1316,540,2511,7514,5834,4883,3516,4687,3291,2316,3563,2256,3072,1809,7389,7314,7544,3226
K00104,5210,4034,3760,3146,8392,6010,1464,1517,3347,2564,2838,5134,1716,305,44,2757,3668,388,402,394,8,83,12,869,780,4167,4058,4506,3960,3525,4931,3280,7973,6998,5896,3673,3602,5927,4001,3104,9407,5327,5613,3625,10170,5965,11600,13770
K00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,90,12,19,0,20,0,74,211,10,45
K00106,0,4,0,0,10,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,9,7,0,29,0,0,0,0,0,0,0,0,0,0
K00107,0,0,0,20,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,78,756,84,496,200,10,25,452,159,455,92,58,993,303,140,241,97,230,84,0,0,0,0
K00108,18674,12371,13314,11647,29605,20940,6606,6645,11225,5209,7015,17583,5154,1040,304,4015,6139,1150,991,1429,636,343,342,1615,1480,37026,16658,22226,16261,16216,27717,18855,28953,36382,34926,22470,27510,30059,23846,22343,33754,28487,37384,28843,39065,41740,34726,33962
K00109,0,0,26,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,20,6,12,0,0,45,0,0,21,11,0,0,0,0,38,8,0,0,0,483,0
K00111,8681,6748,7055,5069,13208,11210,2884,3473,3059,2955,3721,7613,2967,661,239,721,1783,473,458,865,717,782,254,1060,731,14101,7871,9853,8884,8405,12284,8790,12710,14026,16663,8939,14571,15664,12604,13913,18996,15094,19595,15081,17580,17738,17248,16769
K00112,160,141,208,401,239,414,64,454,390,522,452,1249,161,7,49,153,232,16,151,214,273,137,36,311,6,1799,118,118,191,79,176,82,130,1067,1800,520,421,370,527,370,780,745,1411,757,907,799,708,2077
K00113,159,185,190,445,262,447,64,528,458,544,346,1351,195,27,47,186,213,14,208,206,303,200,40,317,0,1637,167,269,241,103,574,205,336,1174,1996,568,463,511,480,429,719,883,1733,744,946,781,693,1954
K00114,516,314,448,672,1314,1006,579,113,464,785,276,2039,114,74,0,11934,14158,397,1656,1437,47,97,39,603,2359,11750,3462,4363,2348,3641,4548,3474,6988,8367,7522,4689,4168,5399,3705,2656,5712,2712,3798,2705,8567,8582,7384,6307
K00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
K00116,2297,2445,2039,608,3819,3105,624,475,996,784,743,2340,817,24,0,4,113,7,30,27,0,0,0,35,136,1464,3837,5316,4703,4866,8719,5729,5059,6311,3696,2819,7660,6564,5123,8197,7875,7043,10323,7141,53,333,558,467
K00117,1076,1105,1248,1119,1437,1284,607,549,0,6,0,0,417,195,20,0,303,81,0,17,0,0,0,19,180,895,8053,13077,8980,10942,19317,15511,15081,7484,7644,5062,5109,3411,3173,5419,5025,5632,7852,5767,51,642,158,619
K00118,534,93,29,113,1746,380,35,163,27,42,0,56,0,77,22,0,4,0,0,0,4,0,0,17,0,5403,1385,1405,886,1276,1080,317,2100,6145,3814,3457,2330,3076,1995,1824,2115,1192,1729,868,4078,4370,3854,2189
K00121,1416,1116,1284,1831,3503,2122,773,973,2507,2197,1789,4028,528,183,76,4861,6059,342,853,973,228,197,123,590,1144,19809,7140,7890,5504,6739,8650,5933,9922,20127,18033,11892,11420,13438,10003,8849,13295,9697,11592,8703,20131,20372,19237,14701
K00122,169,109,141,217,125,50,19,41,15,0,82,28,83,17,0,101,27,186,0,52,0,0,0,15,13,2103,846,1371,599,1555,650,298,1402,4554,1567,3035,1159,1498,1219,614,2459,974,1509,746,2706,2694,2811,3127
K00123,2881,2458,2999,6939,8613,6036,2184,3099,9935,6912,7611,14896,1299,451,236,12744,16439,1170,2574,2988,1176,698,518,2032,2569,32345,14454,19170,14671,14313,18597,12806,24884,33247,37189,18966,22746,26037,21480,20795,31196,25221,31093,22837,40887,41534,39253,39741
K00124,1270,1031,1373,2715,3582,2429,826,1292,4104,2246,2725,5285,681,234,28,3138,4368,431,667,1027,411,201,157,716,628,7735,3508,4485,3416,3197,3760,2928,7079,7592,9911,3811,4902,6459,5613,4053,8696,6655,8085,5663,12902,13152,11868,14583
K00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,42,11,0,0,0,0
K00126,213,183,162,331,744,352,97,107,500,139,301,559,90,52,14,504,694,23,107,133,10,10,25,76,107,871,504,675,432,513,564,440,1048,722,1043,434,532,865,611,486,1063,646,759,587,1662,1765,1624,1673
K00127,532,388,588,1078,1619,1018,375,544,2003,985,1283,2472,234,97,28,1154,1571,159,288,391,161,121,108,317,220,4008,1585,1816,1507,1250,1449,1197,3066,3484,4949,1826,2192,3122,2701,1801,4036,3144,3582,2815,6488,6598,5781,7101
K00128,9614,6156,6693,8705,16558,12296,3843,3395,6556,3485,8311,7946,2579,698,110,583,1259,763,76,304,16,94,33,886,1036,19716,20600,26791,22126,24258,36101,27235,37263,28366,21016,19128,31156,31378,23705,30839,36940,28396,36499,25800,24298,24659,24765,22255
K00129,2557,2360,2224,418,3964,3462,719,423,632,879,520,1737,730,0,0,5,75,0,0,2,0,0,0,0,0,387,76,61,200,160,96,32,125,136,145,178,43,0,117,14,0,87,24,0,15,12,11,30
K00130,5658,3319,3965,4869,8199,5856,2076,2472,3269,2270,2792,6666,1866,211,107,725,1554,512,354,1127,594,329,294,952,231,18026,10163,13858,11342,10317,23553,17715,17375,16494,21558,9956,16853,16523,15610,15084,21429,21013,27416,22973,25888,29299,25872,22145
K00131,1928,2090,1796,477,3637,2832,695,324,178,20,777,255,751,91,4,7,64,25,0,31,0,125,7,38,147,202,3885,4849,4660,4556,9561,7291,5563,1836,320,830,6098,5228,3757,7135,5980,5208,7056,5453,80,71,51,508
K00132,2223,2094,1999,812,3862,3258,743,646,93,224,240,391,664,0,0,0,0,0,0,0,0,329,0,0,0,155,7,18,0,20,70,37,0,31,0,0,0,0,10,0,23,0,0,0,0,0,0,0
K00133,3306,2675,2592,2656,5900,5035,1288,1873,3480,2629,2552,5978,1253,214,161,2476,3647,266,659,1023,565,326,159,1062,710,12628,5900,7846,5867,6486,9874,7020,9628,11902,13985,6666,10685,11180,9224,10349,12909,10599,13257,10043,13452,14494,12511,13887
K00134,2838,2303,2205,1898,5269,3971,1067,1352,2601,1997,2042,4157,1027,196,61,2387,3240,238,585,758,197,273,146,547,719,10927,8912,11353,8873,9622,16688,10977,14410,11607,12895,6460,13803,14269,12249,14613,18037,14107,17810,13710,14609,15209,12424,13279
